[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fedilab-_3.28.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6ada367852f21472    9 of 114   app/fedilab/android/mastodon/helper/ThemeHelper
6d60de30cfa4e6d7    5 of  51   com/google/android/material/ripple/RippleUtils
9df206a8ab2dba51    6 of  77   okhttp3/Headers$Companion
da597eca354aebf3    1 of   2   androidx/fragment/app/FragmentManager$7
c0da8612d6c53226   26 of  84   androidx/fragment/app/SpecialEffectsController$Operation
bec1702e8b3747eb    2 of 172   androidx/core/graphics/ColorUtils
65e81b5826653ae3   28 of 176   androidx/work/impl/WorkManagerImpl
fe0800eb17d12b04    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
698ad042d0d2cb23   24 of  83   app/fedilab/android/mastodon/activities/BaseActivity
b2dd2481ee8bfaed    2 of   2   kotlin/coroutines/ContinuationInterceptor$Key
dc3d8b49967e3336   16 of 269   kotlin/collections/MapsKt__MapsKt
a755b3ce1adf4478    1 of  12   com/google/android/material/textfield/TextInputLayout$1
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
aea4d070f7066395    3 of  28   kotlin/io/CloseableKt
4511b0ee87dda86a    2 of   3   kotlin/ranges/IntRange$Companion
b136f08c66c73535    4 of  34   androidx/work/impl/constraints/trackers/NetworkStateTrackerKt
d05ae76e9efc4383    3 of  52   kotlinx/coroutines/ExecutorCoroutineDispatcherImpl
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
fa338bec22a2b92f    5 of  31   net/gotev/uploadservice/logger/UploadServiceLogger
d8d09ebf8a4f3e73    7 of   7   androidx/sqlite/db/framework/FrameworkSQLiteDatabase$query$cursorFactory$1
a50d7af742ff0f51   32 of  63   com/vanniktech/emoji/EmojiManager
d3cd57b0e6bf2096    3 of  20   okhttp3/internal/platform/android/DeferredSocketAdapter
cd34c077c5dfbac4   53 of 446   okhttp3/internal/Util
8e1bb860c1033523    4 of  12   androidx/core/view/ViewCompat$Api17Impl
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
79ac0ab3eb7fba01    2 of  10   androidx/work/impl/WorkLauncherImpl
5e924f8e46ee8d93    4 of  20   androidx/work/impl/constraints/controllers/NetworkMeteredController
3c5f19f1af83884f    1 of  10   com/google/gson/internal/bind/ArrayTypeAdapter$1
385c4ab936c95e4f   14 of  16   app/fedilab/android/BaseMainActivity$iconLauncher
4b72f120b9a28997   18 of  26   androidx/sqlite/util/ProcessLock
f8175a77e442ec4a    1 of   3   com/google/gson/LongSerializationPolicy$2
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
d16051edf8672298   19 of  21   androidx/room/SharedSQLiteStatement
b4a270a6145a822c    2 of  27   androidx/room/EntityDeletionOrUpdateAdapter
c7b1af4fd42726aa    2 of   2   okhttp3/CookieJar
66f47bd43f522807    2 of   5   okhttp3/ResponseBody$Companion$asResponseBody$1
76b6204e9339f7bb   28 of  78   com/google/android/material/internal/StaticLayoutBuilderCompat
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
3aeaae12e07ebe05    2 of  30   kotlin/collections/AbstractList
ff46880578d5dd12    4 of   5   com/vanniktech/emoji/one/category/AnimalsAndNatureCategory
848c51ecb0cb8f22    1 of   7   androidx/work/impl/WorkDatabase_AutoMigration_16_17_Impl
df8598064f3c8236    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
200227aa58dc5df9    1 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
a0ad934393dfd2bf    5 of   7   androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable
523840d1f5fbdd83    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$12
f6ee833bd3de2c98    2 of   2   okhttp3/Dns
6d597c372ca5c75d    2 of  13   androidx/room/InvalidationTracker$Companion
82886ebf41506ffe    3 of 321   androidx/constraintlayout/core/state/WidgetFrame
636301628f79bfe4    9 of  70   okio/ByteString$Companion
28cacd05d2dc8d8e   12 of  61   okhttp3/internal/platform/Platform$Companion
2e1bd8e851cfbda2    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
691b20a00245e161    5 of   8   androidx/fragment/app/SpecialEffectsController$Operation$WhenMappings
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
7e4b854327f3b659    4 of   9   com/google/android/material/textfield/CutoutDrawable$ImplApi18
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
5d0cf17fe6ad0875    6 of   7   androidx/work/ConfigurationKt$createDefaultExecutor$factory$1
5ae7964eb1100f16    5 of  97   com/google/gson/reflect/TypeToken
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
6e70ed02182bf9ec    3 of 518   kotlin/ranges/RangesKt___RangesKt
bd036b3276e3ea64    8 of  53   androidx/core/view/MenuHostHelper
6c37c9042409538d    1 of   4   androidx/lifecycle/LiveData$1
346dd98637c77095    3 of   6   androidx/fragment/app/Fragment$6
5607100eee7f42ca    9 of  83   okhttp3/CertificatePinner
6daf6338b9e7cdcd    3 of   7   androidx/work/impl/utils/SerialExecutorImpl$Task
331c59789f7217a8    3 of 149   okhttp3/internal/concurrent/TaskQueue
0cc1c2da0de4593d    4 of  15   androidx/fragment/app/SpecialEffectsController$Operation$State$Companion
c1bd09968d243fcb    2 of   2   androidx/work/impl/constraints/controllers/NetworkNotRoamingController$Companion
b61f6f5d3aa7f922    1 of   4   kotlin/collections/IntIterator
af33de4c253a268e    7 of   7   androidx/work/ConfigurationKt
45a5f9380e1f884c    8 of  53   androidx/core/os/TraceCompat
1fa55d6f039a9b9f    1 of   3   com/google/android/material/resources/TextAppearanceConfig
afc8f9a5db5f97e0    2 of  85   net/gotev/uploadservice/extensions/ContextExtensionsKt
7cef84ccf6ba5c4d    3 of  14   org/conscrypt/io/IoUtils
