[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Jellyfin-Android-_v2.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
b9cc35d9c2d438eb    1 of   3   androidx/compose/animation/CrossfadeKt$Crossfade$7
3fbf7864a06ccfd1    2 of   9   shark/AndroidReferenceMatchers$APP_OPS_MANAGER__CALLBACK_STUB$add$1
5739e13c5096ba21   29 of  57   androidx/compose/runtime/snapshots/SnapshotDoubleIndexHeap
e93eb7bfd6cc7d27    4 of   4   androidx/compose/animation/core/TransitionKt$updateTransition$1$1
25820e27fa1cb99a    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
3c22d842837b3053   18 of  21   androidx/compose/foundation/text/CoreTextFieldKt$CoreTextField$5$1
c85b7e1aeee943c1    3 of   6   org/koin/core/definition/Kind
5f1e9df429a22c5a   20 of  24   androidx/compose/ui/platform/LayerMatrixCache
4bcf933e04697d43    2 of  95   androidx/room/InvalidationTracker$refreshRunnable$1
7d134b27da5256db    2 of   2   androidx/lifecycle/viewmodel/internal/ViewModelProviders$ViewModelKey
4cbf933ff15886e1   19 of  26   androidx/compose/animation/core/MutatorMutex
27354d1c9d263ec7    2 of   9   shark/AndroidReferenceMatchers$CLIPBOARD_EX_MANAGER$add$3
4b84b2ec62427723    2 of   9   shark/AndroidReferenceMatchers$ACCESSIBILITY_NODE_INFO__MORIGINALTEXT$add$1
029c3f439c07e832    3 of   3   androidx/compose/ui/graphics/BrushKt$ShaderBrush$1
718bbb3c49b2e1e6    2 of   2   androidx/lifecycle/LifecycleOwnerKt
605533aa6efd21ab    3 of  17   androidx/compose/ui/text/android/VerticalPaddings
7b0e590b94d74742   19 of  48   com/google/android/gms/common/internal/zzp
dd437eedf1289b65    4 of   4   androidx/compose/animation/core/VectorizedAnimationSpecKt$createSpringAnimations$2
2a6572d30bbfcb2b    2 of   3   kotlin/jvm/internal/Lambda
f2a40c766fdba8aa   10 of 355   androidx/compose/foundation/text/selection/BaseTextPreparedSelection
7b93da087b44a319    6 of  15   androidx/compose/ui/input/pointer/PointerKeyboardModifiers
82548dc1750840fe   25 of 161   androidx/activity/result/ActivityResultRegistry
9b2f6ceef8696df2    1 of  11   org/jellyfin/mobile/ui/screens/connect/ServerSelectionKt$AnimatedErrorText$1
4ef0c129c7ac1f41    1 of  23   com/google/android/gms/cast/framework/media/zza
bf81f0015da35448   17 of  23   androidx/compose/material/TextFieldDefaultsKt
8f83bb62c41eabcb   10 of  50   kotlin/collections/EmptyList
acdba213c73b0d4f   13 of  98   androidx/lifecycle/LiveData
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
b6bb9b4816bb631f    3 of   3   androidx/compose/foundation/layout/FillNode$measure$1
adff3107f41f6978    2 of   5   androidx/compose/ui/semantics/SemanticsProperties$IsPopup$1
