[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
35352732ac6e21a5    5 of 165   io/sentry/MainEventProcessor
f8cccbfd8e554491    2 of  27   io/sentry/DateUtils
79581c28b50b3194    3 of   4   io/sentry/transport/NoOpTransportGate
d77a5477a390950d   10 of  13   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$navigateToMainActivity$2
44dfcdbad8487b5c    3 of  20   kotlinx/coroutines/NodeList
58f6ddb1d42a619f    1 of  25   io/sentry/profilemeasurements/ProfileMeasurement$Deserializer
ae9aecff6344fcc3    1 of   7   androidx/lifecycle/LifecycleCoroutineScope
2bbcbc2365bcaa9b    2 of  13   com/fasterxml/jackson/module/kotlin/KotlinDeserializers
dc9346e8f226ffb2    2 of  14   com/squareup/picasso/OkHttp3Downloader
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
431327a9cfea6fa0   13 of  74   androidx/core/view/KeyEventDispatcher
684b3f3c22f196c3    5 of 121   openfoodfacts/github/scrachx/openfood/models/entities/store/StoreNameDao
d43a371ed0b4877c    7 of   7   openfoodfacts/github/scrachx/openfood/app/DaggerOFFApplication_HiltComponents_SingletonC$ActivityCBuilder
6b9793856f14e3f0    3 of   3   androidx/lifecycle/SavedStateHandlesVM
12c62bdd616f3e28    6 of   7   okhttp3/internal/NamedRunnable
097ba682197a39a0    1 of  32   io/sentry/protocol/OperatingSystem$Deserializer
7cdc67561bb66ee7   15 of  29   androidx/work/impl/model/PreferenceDao_Impl
0376c0d5e1597e79    9 of  17   dagger/internal/SingleCheck
265c21cbe1a212b6   16 of  46   com/google/firebase/components/Dependency
d41a7e4f123747b4    2 of   2   androidx/room/RoomTrackingLiveData$3
7e9c525f6d2c6629    2 of  18   io/sentry/SentryExecutorService
396dbe2b4af360e4  118 of 686   okio/Buffer
58b3f904ecc6b8a4    4 of  63   kotlin/ResultKt
2c05747ee54990a1   16 of 153   com/fasterxml/jackson/databind/deser/std/BaseNodeDeserializer
22abbc1f2ef351e2    5 of   6   openfoodfacts/github/scrachx/openfood/models/entities/allergen/AllergenDao$Properties
6eaf74f3c1add4dd    1 of   5   openfoodfacts/github/scrachx/openfood/features/productlist/ProductListViewModel_HiltModules_KeyModule_ProvideFactory
5436fb0c96f7bda7   13 of  18   kotlin/coroutines/jvm/internal/ContinuationImpl
b256da94683af5cc    5 of   8   openfoodfacts/github/scrachx/openfood/features/splash/SplashController$sam$androidx_lifecycle_Observer$0
c793d88de469aa14    1 of   8   com/fasterxml/jackson/databind/ser/Serializers$Base
718bbb3c49b2e1e6    2 of   2   androidx/lifecycle/LifecycleOwnerKt
027252fe7d4e63ac    1 of   5   androidx/work/impl/WorkDatabaseMigrations$2
3b00a8f82e72651b    1 of   5   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$1
a1b1e9b4f895a9dc   10 of  92   kotlinx/coroutines/JobKt__JobKt
6798866b16ce1192    1 of   3   com/google/android/gms/internal/mlkit_common/zzaq
d136257e3cb20303   20 of 108   okio/RealBufferedSink
8fc0274da2cf94df    2 of   6   com/fasterxml/jackson/databind/ser/std/NullSerializer
0e79d83aacdeb43f    8 of 669   androidx/constraintlayout/core/widgets/analyzer/DependencyGraph
2106de8d6d1352ec    8 of  10   androidx/activity/ComponentActivity$3
a393d6957c1c0d0b   59 of 221   okhttp3/internal/http2/Http2Connection
dfbc7b5d01b6592e    1 of   1   openfoodfacts/github/scrachx/openfood/app/OFFApplication_HiltComponents$ActivityRetainedC
4d86ed12cc9f6756    1 of   5   openfoodfacts/github/scrachx/openfood/features/scanhistory/ScanHistoryViewModel_HiltModules_KeyModule_ProvideFactory
3ffd3546df853ac4    2 of  38   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
b5f9333fe446ce86   24 of 214   androidx/work/Data
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
77ea646e15bca8d3    1 of   5   openfoodfacts/github/scrachx/openfood/hilt/NetworkModule_ProvideHttpClientFactory
d5d41d590cae7047    5 of 165   com/fasterxml/jackson/databind/cfg/MapperBuilder
f271d53e6b8f35f0    7 of  13   openfoodfacts/github/scrachx/openfood/app/DaggerOFFApplication_HiltComponents_SingletonC$Builder
fea3288b714c0c17    5 of  25   com/squareup/picasso/Stats
c6577d64841c1f0c   45 of  89   androidx/room/RoomDatabase
58d81054c5fd7081    1 of   3   io/sentry/SpanStatus$Deserializer
9332226185282e67    8 of  31   kotlin/Result
6026ef6ada05a43e   48 of  50   org/matomo/sdk/QueryParams
4beb23509fb10241    6 of  20   kotlin/reflect/jvm/internal/pcollections/MapEntry
2a688e11fb2a0699    3 of  38   kotlin/collections/AbstractList$Companion
8759b11ac86e8774    1 of   7   com/fasterxml/jackson/databind/ser/std/StringSerializer
f8614e6fed2525d4    1 of  16   okhttp3/internal/cache/DiskLruCache$1
33ebe3b1125bf6d9    1 of   2   openfoodfacts/github/scrachx/openfood/features/scanhistory/ScanHistoryViewModel_HiltModules$KeyModule
e97c8b7cac7e8ae6    1 of   3   androidx/core/content/res/ResourcesCompat$Api23Impl
e6907147b750460d    2 of   3   com/google/firebase/components/ComponentRuntime$$Lambda$1
bcfadd4a47d8d174    1 of   3   com/fasterxml/jackson/core/ObjectCodec
214c6270129ebc50   56 of 178   androidx/work/impl/background/systemjob/SystemJobScheduler
75ac8416fdb08047    1 of  48   com/squareup/picasso/NetworkRequestHandler
68d52efec963c20b    2 of   3   openfoodfacts/github/scrachx/openfood/repositories/Taxonomy$AnalysisTagConfigs
3956a1c772df775c   14 of  39   openfoodfacts/github/scrachx/openfood/models/entities/label/Label
c70c454865a25b8b    5 of  12   kotlinx/coroutines/Dispatchers
