[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Aegis-_v3.4.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1e8562feffbf9943    1 of   2   com/bumptech/glide/module/LibraryGlideModule
d15d518330d4328d   14 of  23   com/bumptech/glide/manager/LifecycleLifecycle
39b2d3d4ee5616b9    4 of   5   com/beemdevelopment/aegis/DaggerAegisApplication_HiltComponents_SingletonC$ActivityRetainedCImpl
df8598064f3c8236    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
00f49dd0abb1ac1c    1 of   3   com/bumptech/glide/GeneratedAppGlideModule
bd654d296412e6d7    2 of   2   com/bumptech/glide/GlideBuilder$1
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
c3933f842baf8d33    4 of  11   kotlin/coroutines/AbstractCoroutineContextKey
8ad108b8ba942273    2 of  36   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
ca1e6726fa606dc8    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
2a112bd171e772b4   18 of  28   androidx/lifecycle/ViewModelProvider
f40e43d96676ab34    3 of   3   androidx/lifecycle/SavedStateHandlesVM
9cca9a60864b1a77    2 of  25   androidx/core/app/AppOpsManagerCompat
6fc6f67a4b5c587c    2 of   2   kotlin/UNINITIALIZED_VALUE
b6c02aa95290ec67    1 of   1   androidx/lifecycle/LifecycleRegistry_androidKt
691b20a00245e161    5 of   8   androidx/fragment/app/SpecialEffectsController$Operation$WhenMappings
8047acc40bbbd59a   14 of  97   com/beemdevelopment/aegis/helpers/FabMenuHelper
8d95d5e57345e997    6 of  47   androidx/core/os/CancellationSignal
113b35940757815b    8 of  19   com/google/android/material/appbar/ViewUtilsLollipop
