[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Clock-_1.6.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ca5906d594ac09fa   12 of  17   androidx/room/util/SQLiteConnectionUtil
4a02a745dcb1602a    1 of   1   androidx/lifecycle/LifecycleRegistry_androidKt
75509c289c411ce5    3 of   4   androidx/fragment/app/strictmode/SetUserVisibleHintViolation
ca16055326bb6822    6 of   8   com/google/gson/Strictness
fedbe1f3ac8e2246    1 of   5   kotlinx/coroutines/internal/Symbol
6073e58eb7820b9f    3 of   3   androidx/recyclerview/widget/DiffUtil$Diagonal
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
c80a05c5768142ac   11 of  61   androidx/lifecycle/viewmodel/internal/ViewModelImpl
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
b76f7740fef0973d   12 of  19   kotlinx/coroutines/CoroutineStart
106383017e106494    6 of  74   androidx/core/view/ViewConfigurationCompat
65bf5e6fe4ee96d9    1 of  11   kotlinx/coroutines/EventLoopKt
fe08478f50548834   12 of  82   com/google/android/material/floatingactionbutton/FloatingActionButton$BaseBehavior
58fab761cabb2cc9    4 of   5   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
d8d41a13bd1a8e37    2 of   2   androidx/activity/ComponentActivity$Companion
9ec98ae98a6587ab    2 of  95   com/google/android/material/appbar/HeaderBehavior
8d6f4f6d5292917e    1 of   7   com/google/gson/internal/bind/TypeAdapters$8
6e6383d4bf7b1b22   82 of 349   androidx/recyclerview/widget/DefaultItemAnimator
cfd70bf5ed99e849  142 of 267   com/google/gson/Gson
827111b502462874    8 of  23   com/google/android/material/appbar/ViewOffsetHelper
f813546d98bfbd39    7 of   7   com/google/android/material/shape/MaterialShapeDrawable$2
af5955c6f202a967    2 of   2   kotlin/collections/builders/SetBuilder$Companion
2bd4298b5266a1c5    1 of   4   androidx/room/InvalidationTracker$implementation$1
c5bf0d5728ea09fd    4 of  41   org/fossify/commons/extensions/CursorKt
bb48a9fdf84630f3   74 of 292   androidx/appcompat/view/menu/MenuItemImpl
93717bfc18c80a47    3 of   7   org/fossify/commons/extensions/AppKt
b537e0f19a7dc5be    4 of   4   org/fossify/commons/helpers/BaseConfig$Companion
15d6e7c3ecb9aca9    3 of  99   kotlinx/coroutines/JobKt__JobKt
26703078bff883f6    1 of  25   androidx/recyclerview/widget/AdapterHelper$UpdateOp
63c681d9bf5cb74b   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
6fe2619d3879440f    5 of  20   androidx/lifecycle/ClassesInfoCache$MethodReference
3d90534aee3a92eb    3 of   3   kotlinx/coroutines/flow/internal/NullSurrogateKt
7ed4f49952c10a87    5 of  11   com/google/android/material/animation/AnimationUtils
6d61a5550b98f1a2    2 of   2   kotlin/SafePublicationLazyImpl$Companion
9025ecef67eab12e    1 of   5   androidx/fragment/app/FragmentTransaction$Op
24fb3a517f6f03d4    6 of  21   androidx/room/util/SQLiteStatementUtil__StatementUtilKt
5862a5d13e7921df   37 of 381   kotlin/collections/ArrayDeque
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
e372ff673127af29    1 of  39   androidx/room/EntityDeleteOrUpdateAdapter
8ec0914ef49d610f    4 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
b8adf0a24123fb0d    2 of  23   androidx/room/util/SQLiteStatementUtil__StatementUtil_androidKt
38040adc134f0bb3   45 of 154   me/grantland/widget/AutofitHelper
e04a4cf1c67340ef   11 of  46   androidx/core/view/ViewCompat$Api21Impl
519a6dfca57e8b3f    3 of   3   kotlinx/coroutines/GlobalScope
da597eca354aebf3    1 of   2   androidx/fragment/app/FragmentManager$7
66e7976ca4207780    3 of  12   androidx/room/InvalidationLiveDataContainer
c0da8612d6c53226   30 of  84   androidx/fragment/app/SpecialEffectsController$Operation
39a5c64e5d454083   11 of  34   kotlinx/coroutines/internal/LockFreeTaskQueue
fb6b5cfd5d7868c3    1 of   2   androidx/room/TriggerBasedInvalidationTracker$notifyInvalidation$1
81f1430f0aa06273    7 of  11   androidx/lifecycle/LifecycleCoroutineScopeImpl$register$1
b01ebf4d9f753209    1 of  24   androidx/core/view/SoftwareKeyboardControllerCompat$Impl20
45fab3b5627cc603   48 of 169   androidx/emoji2/text/EmojiCompat
365b45e2d77806f2    2 of   2   kotlinx/coroutines/BlockingEventLoop
9e7e2eb36feedd14    3 of   7   org/fossify/commons/activities/AppLockActivityKt
67855037317944f0    1 of   1   org/greenrobot/eventbus/android/AndroidComponentsImpl
1ecb836c2a421dda    7 of  61   androidx/core/app/ComponentActivity
bdf0199154eb82ca    6 of 209   kotlin/jvm/internal/TypeIntrinsics
e2b3339da244792a    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
0570809fb621b98c   10 of  16   androidx/activity/OnBackPressedCallback$OnBackPressedEventHandler
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
0ff7c2138a6db5cd    1 of  14   kotlin/collections/ArraysKt__ArraysJVMKt
