[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
8e7a64963bcbf140    1 of  14   androidx/appcompat/widget/ActionMenuPresenter$PopupPresenterCallback
0b21de17d9a6d164   61 of 113   com/google/android/material/shape/ShapePath
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
088a560b38394ad2    6 of  21   com/google/android/material/motion/MaterialBackOrchestrator
e9d1ded6b479c195    1 of   4   androidx/appcompat/widget/ActionBarOverlayLayout$2
8131efc59e2bd226    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
8a678778153bea57    1 of   5   androidx/appcompat/widget/SearchView$2
d9f89462fb55d13d    4 of  10   androidx/collection/ArraySet$1
8a8d94fbab2b5e95    1 of   8   androidx/appcompat/app/ToolbarActionBar$MenuBuilderCallback
4125bbe77d56dbb5    1 of  14   androidx/appcompat/widget/Toolbar$3
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
523c6cb141b68c0e  104 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
5095df1df2d8adb7    2 of  39   org/greenrobot/greendao/internal/LongHashMap
aeb7ddc489b298ee    2 of   5   androidx/appcompat/widget/TooltipCompat
a9ee2efd2eb8ef33    3 of   3   androidx/lifecycle/LifecycleDispatcher$DispatcherActivityCallback
2ed531a157af2096    2 of   5   androidx/emoji2/viewsintegration/EmojiTextWatcher$InitCallbackImpl
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
b2cb257a65b50f38    5 of  44   androidx/core/app/NavUtils
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
c91739d234ec4f1e    1 of   4   androidx/core/view/ViewPropertyAnimatorListenerAdapter
d81a6a990b19726b   40 of 123   androidx/appcompat/graphics/drawable/DrawerArrowDrawable
f0d1bdbab883971f    1 of  33   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
6b9793856f14e3f0    3 of   3   androidx/lifecycle/SavedStateHandlesVM
67855037317944f0    1 of   1   org/greenrobot/eventbus/android/AndroidComponentsImpl
ef3f81be62cf5b0c   52 of 173   androidx/appcompat/app/AppCompatViewInflater
