[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
89deac79eb2655f2    3 of  43   androidx/sqlite/db/SupportSQLiteOpenHelper$Callback
be0121e86be2ad7f    7 of  27   androidx/activity/OnBackPressedDispatcher
7b95e00575d9173d   22 of  62   androidx/appcompat/widget/TintTypedArray
34a980b7c8aeedc6    1 of  17   androidx/room/DatabaseConfiguration
2aca39c981a279d7    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
70816ebbee54bf17    2 of   2   androidx/lifecycle/Lifecycle
486c42c80cd8e105   39 of  47   com/serwylo/lexica/lang/Persian
4cd21595fc94aaaa    1 of   5   com/serwylo/lexica/db/GameMode$Creator
c100425940566e76  212 of 578   androidx/constraintlayout/widget/ConstraintLayout
fe9596c1eedabff4    2 of   6   androidx/sqlite/db/framework/FrameworkSQLiteStatement
d1de5ef6d5238970   21 of 118   com/serwylo/lexica/db/GameMode
d7bf2cd2e1c6b7d5   17 of  33   com/serwylo/lexica/databinding/SplashBinding
68b99636d640b94f   36 of  44   com/serwylo/lexica/lang/Ukrainian
f9d5de126e77b633   21 of 298   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
6ea4a30da9a7938d    7 of  25   com/google/android/material/resources/MaterialAttributes
5cc56925c769ed0f   13 of  20   com/serwylo/lexica/db/GameModeDao_Impl$1
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
1bc764446c04560f    6 of  16   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
482b054e11f4fd1b    3 of 127   kotlin/jvm/internal/Intrinsics
9603b22a9540aae3    1 of  23   androidx/room/EntityDeletionOrUpdateAdapter
22bb28c620d7e520  177 of 508   androidx/constraintlayout/solver/LinearSystem
9e30d1c62e36804d    4 of  83   androidx/lifecycle/Lifecycling
94f642ef734b8cdf   27 of 123   androidx/appcompat/widget/AppCompatButton
6a94e1d4fd736fbd   35 of  43   com/serwylo/lexica/lang/RussianExtended
a1e7eb53b4757b51    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
84401590dd225360    4 of   4   com/serwylo/lexica/view/ThemeProperties$HomeProperties
a0972314e0297838    3 of  27   kotlin/collections/ArrayAsCollection
36c4d112a4b53ef0   11 of  44   androidx/appcompat/widget/ViewStubCompat
9c2b29245af87864    1 of   2   com/google/android/material/R$styleable
28e8cd96f62c9ec6   14 of  30   androidx/constraintlayout/solver/widgets/Optimizer
9c71a82afbdc4c1d   11 of  52   androidx/fragment/app/FragmentController
