[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1d52c5c5b0d6aaf9    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$14
bb28778dd778f967    6 of  13   androidx/recyclerview/widget/OrientationHelper
c808948a4cc7f2fe    3 of  25   org/libtorrent4j/swig/peer_blocked_alert
c20bd16b9f377eec    1 of   3   io/reactivex/internal/functions/Functions$OnErrorMissingConsumer
748a627a05120123   12 of  13   androidx/lifecycle/Lifecycle$State
2b14d3a54330a943   19 of  21   org/proninyaroslav/libretorrent/ui/customviews/ThemedSpeedDialView
f44a6a79d8ba744c    1 of   2   org/libtorrent4j/alerts/Alerts$97
6ff701a22e2e42bc    1 of   2   org/libtorrent4j/alerts/Alerts$68
a0a8b762a52e002d   28 of  76   androidx/recyclerview/widget/RecyclerView$Adapter
af33de4c253a268e    7 of   7   androidx/work/ConfigurationKt
15665bbf630baf00   14 of  82   com/h6ah4i/android/widget/advrecyclerview/adapter/SimpleWrapperAdapter
c390b71f601df640    4 of   6   com/google/android/material/navigation/NavigationView$SavedState
42ba847af552a147    1 of  14   androidx/recyclerview/selection/EventBackstop
3d4c242a9acaf17b    2 of   9   androidx/work/impl/Migration_15_16
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
16d781616f87fad4    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$6
10d82642ac245858   10 of 121   androidx/work/impl/background/greedy/GreedyScheduler
e3eabf79b1576f2e    2 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
e980821eff020673    5 of   5   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$1
df5d6572809a7846    1 of   5   org/proninyaroslav/libretorrent/core/sorting/TorrentSorting$SortingColumns$6
e8a68d3a999d2ef5   17 of  27   com/leinardi/android/speeddial/SpeedDialActionItem$Builder
add3979ca136998e    3 of  39   androidx/customview/poolingcontainer/PoolingContainer
afbf868cd54a0e8e    2 of   2   org/nanohttpd/NanoHTTPD$DefaultServerSocketFactory
e4dfefe476a3ef60    4 of   6   io/reactivex/internal/operators/flowable/FlowableInternalHelper$RequestMax
8131efc59e2bd226    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
83aee87148d801fd    4 of  11   androidx/collection/MapCollections$ArrayIterator
d9f13a447c7fad34    1 of   2   androidx/appcompat/R$styleable
5b65fdcc6fb4dbe2    6 of  23   io/reactivex/internal/subscriptions/ScalarSubscription
fb1fd4ff5cc5202c    3 of  25   org/libtorrent4j/swig/hash_failed_alert
fdc2593c2438a3cc    3 of  25   org/libtorrent4j/swig/dht_reply_alert
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
24f1fe95d02cc943    5 of  16   org/libtorrent4j/swig/settings_pack$enc_level
4246a9565267ca7b    3 of  25   org/acra/log/AndroidLogDelegate
d112f18722094191   29 of  95   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
209546b6d9bd2c8d   27 of  37   androidx/room/InvalidationTracker$ObservedTableTracker
c00fb0c3b08a135c    2 of   6   androidx/lifecycle/DefaultLifecycleObserver
05e471fa30a797a4    1 of   2   org/libtorrent4j/alerts/Alerts$58
