[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/uhabits-_v2.3.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
35b2173f04aa4cfa    2 of   5   androidx/fragment/app/FragmentTransaction$Op
6120c23f1960e8a1   28 of 182   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher
c496254a6aa0a19e   81 of 226   androidx/activity/ComponentActivity
c8e8239f2a12e383  318 of 1610   androidx/constraintlayout/core/widgets/ConstraintWidget
a691a1a5cf20baf3    1 of   2   org/isoron/uhabits/activities/common/views/ScrollableChart$init$1
5f13b9484f212b93    1 of  12   kotlinx/coroutines/MainCoroutineDispatcher
8d41be53f6274fdf    9 of  15   kotlin/reflect/jvm/internal/CacheByClassKt
e3eabf79b1576f2e    2 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
7f1c0a53c60d49b2   29 of  79   kotlin/reflect/jvm/internal/impl/name/FqName
f87b7535929c0d23    8 of 1809   kotlin/collections/CollectionsKt___CollectionsKt
f22139325c2df5cc  126 of 484   com/github/appintro/AppIntroBase
f42734abc675cc0f   10 of  32   androidx/preference/DialogPreference
f0d1bdbab883971f    1 of  33   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
97d1a30f7ecfe0e8    2 of  49   org/isoron/uhabits/AndroidBugReporter
