[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
a0ad934393dfd2bf    5 of   7   androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable
1f1a578a0db727b6   13 of  49   com/facebook/stetho/server/LocalSocketServer
c3e58f84a5345bc6    1 of   5   androidx/swiperefreshlayout/widget/CircularProgressDrawable$1
e0d709433d833680   21 of  22   fr/gaulupeau/apps/Poche/data/dao/ArticleDao$Properties
e302cdf9a5b039d3    1 of   4   androidx/appcompat/widget/ActionBarOverlayLayout$LayoutParams
2e1bd8e851cfbda2    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
6aee5cd925c7f151    2 of   3   fr/gaulupeau/apps/Poche/ui/preferences/ConnectionWizardActivity$WelcomeFragment
113b35940757815b    8 of  19   com/google/android/material/appbar/ViewUtilsLollipop
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
040951e1b038b77e    1 of   2   androidx/drawerlayout/R$styleable
eafe1f5882ac75a4    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
246bee4e4fe0c771  146 of 390   com/google/android/material/tabs/TabLayout$TabView
6e70ed02182bf9ec    2 of 518   kotlin/ranges/RangesKt___RangesKt
bd036b3276e3ea64    7 of  53   androidx/core/view/MenuHostHelper
6c37c9042409538d    1 of   4   androidx/lifecycle/LiveData$1
bb28778dd778f967    6 of  13   androidx/recyclerview/widget/OrientationHelper
ff01c70523ba4103   10 of  20   fr/gaulupeau/apps/Poche/events/EventHelper
5534047491473ac6    4 of  54   com/facebook/stetho/common/LogUtil
fe06cf6335d24e75    1 of   1   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher$FragmentLifecycleCallbacksHolder
fab0be550f74e955    2 of   7   androidx/appcompat/widget/ToolbarWidgetWrapper$1
bd1dcf52745f14d8    2 of   2   androidx/fragment/app/FragmentManager$4
a0a8b762a52e002d   26 of  76   androidx/recyclerview/widget/RecyclerView$Adapter
d6fa85084f67fe5b    3 of  13   fr/gaulupeau/apps/Poche/ui/preferences/IntListPreference
d38f4297fd0b66c1    4 of   9   androidx/drawerlayout/widget/DrawerLayout$LayoutParams
c390b71f601df640    4 of   6   com/google/android/material/navigation/NavigationView$SavedState
d8fc1abc31f10967    3 of  14   org/greenrobot/greendao/database/StandardDatabase
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
7a0fecb02115ad76   26 of  84   androidx/appcompat/widget/AppCompatImageView
62dc58c50e3466f0  100 of 297   androidx/appcompat/view/menu/MenuItemImpl
c496254a6aa0a19e   72 of 226   androidx/activity/ComponentActivity
94cc7da95599961e    1 of   6   androidx/drawerlayout/widget/DrawerLayout$ChildAccessibilityDelegate
309585864f5b40ae    1 of   2   androidx/core/graphics/Insets$Api29Impl
8da202fb1c4971f8    1 of   4   androidx/core/view/PointerIconCompat$Api24Impl
e9d1ded6b479c195    1 of   4   androidx/appcompat/widget/ActionBarOverlayLayout$2
ba61e0393277dac0   32 of  82   fr/gaulupeau/apps/Poche/ui/RecyclerViewListFragment
c49df1ddcddf926f   14 of  44   com/google/android/material/appbar/ViewOffsetBehavior
328a5e9255e5930f    1 of   5   androidx/drawerlayout/widget/DrawerLayout$SimpleDrawerListener
9bbf7d7b4a714e47    1 of   5   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$SavedState$1
f0d1bdbab883971f    1 of  33   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
add3979ca136998e    3 of  39   androidx/customview/poolingcontainer/PoolingContainer
8131efc59e2bd226    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
83aee87148d801fd    8 of  11   androidx/collection/MapCollections$ArrayIterator
ead8a2104a508063    2 of   4   androidx/lifecycle/ViewModelProvider$Factory$Companion
168aacc282f63bbe   12 of  39   androidx/appcompat/view/ActionBarPolicy
f84489e2e2a9a80d   24 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
d112f18722094191   29 of  95   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
398ba57a216fee8f    5 of   7   com/facebook/stetho/server/ServerManager
a94eb161ad8d6eb1    1 of   6   kotlin/jvm/internal/FunctionReferenceImpl
2759aeaa24f1d615  181 of 745   androidx/fragment/app/Fragment
