[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
afb2798a1ef0102d   12 of  61   okhttp3/internal/platform/Platform$Companion
87236abbbcf2598c    2 of  12   leakcanary/ServiceWatcher$install$3$2
7a2031bbf062bb13    7 of  95   androidx/lifecycle/Lifecycling
336c4839b31e50a0    2 of  13   shark/AndroidReferenceMatchers$SYSTEM_SENSOR_MANAGER__MAPPCONTEXTIMPL$add$1
3a26374f44e17166    3 of   3   kotlinx/coroutines/scheduling/TaskContextImpl
0c7b206133be574b    7 of   7   leakcanary/ServiceWatcher$install$4
f3b4d0776fa12c90    3 of  62   org/wikipedia/push/WikipediaFirebaseMessagingService$Companion
32935e907d2d01dd    1 of   2   com/google/android/gms/internal/mlkit_common/zzaz
7f726bf53cbe70ca   50 of 1169   androidx/work/impl/model/WorkSpecDao_Impl
656416ceb3f760ab    1 of 121   leakcanary/internal/activity/LeakActivity
b0af8c4896a572b4    9 of  40   okhttp3/internal/http/HttpMethod
effc93f28c6dd094   40 of 118   androidx/room/RoomDatabase$Builder
4027bdefea8c07b3    3 of   3   shark/AndroidReferenceMatchers$PERF_MONITOR_LAST_CALLBACK
600a758574f33185    3 of  13   androidx/work/WorkManager
b1b7e2f811a47217    1 of   3   shark/AndroidObjectInspectors$MESSAGE
3d60d2d2969dd82d    3 of   3   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK
ab9f4c56adfecb34   16 of  18   androidx/work/Logger
50ed59f2b8c978d3    2 of  10   shark/AndroidReferenceMatchers$ACTIVITY_MANAGER_MCONTEXT$add$1
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
ce712c5668e11bc0    3 of   3   shark/AndroidReferenceMatchers$SYSTEM_SENSOR_MANAGER__MAPPCONTEXTIMPL
22945cc53112ce45    2 of   4   leakcanary/AndroidLeakFixes$ACCESSIBILITY_NODE_INFO
c7fefde87524563a    1 of   6   org/wikipedia/dataclient/okhttp/UnsuccessfulResponseInterceptor
69c8d20a9bb2017b   34 of 1782   kotlin/collections/CollectionsKt___CollectionsKt
c83e2bb77f409dc4   18 of  31   com/google/android/datatransport/runtime/dagger/internal/DoubleCheck
326fd86a1662b56a    2 of   4   shark/AndroidObjectInspectors$VIEW_ROOT_IMPL
17f8af81e516347f   18 of  33   io/reactivex/rxjava3/internal/schedulers/ComputationScheduler
2cb722abb60bf102    2 of   9   shark/AndroidReferenceMatchers$SPELL_CHECKER_SESSION$add$1
771f3764c897b1f9    1 of   2   org/wikipedia/BuildConfig
bb51d773b7a9d29d    3 of   3   shark/AndroidReferenceMatchers$INPUT_MANAGER__M_LATE_INIT_CONTEXT
cd13d0a6bf6bfbc6   10 of  62   leakcanary/internal/LeakCanaryFileProvider
780df840693f686e    5 of  17   okhttp3/internal/platform/android/AndroidCertificateChainCleaner
36dd57c8a692b69a    5 of  41   androidx/work/Logger$LogcatLogger
274f2d9176cdfd0d    4 of  18   org/wikipedia/json/JsonUtil
0c4afcb4fd585c84    2 of   3   com/google/android/datatransport/runtime/time/TimeModule_UptimeClockFactory$InstanceHolder
87eb32b3dae4ce99    3 of  94   okio/Timeout
499b2ce49e2cd274   73 of 179   com/google/firebase/FirebaseApp
4f21e55ed77e7426    2 of  28   okhttp3/internal/concurrent/TaskRunner$runnable$1
e09c412c9cb8e42f    1 of   6   io/reactivex/rxjava3/internal/util/Pow2
fe157c3e0bf2d8f1    4 of 261   okhttp3/internal/connection/RealCall
