[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/OpenSudoku-_4.10.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
a2f7584b66ade616   14 of  17   androidx/activity/EdgeToEdgeApi29
5838fa851202feb8    3 of  49   androidx/lifecycle/ViewModel
3f043de935b1f555    1 of  43   kotlin/collections/CollectionsKt__CollectionsJVMKt
7ed4f49952c10a87    5 of  11   com/google/android/material/animation/AnimationUtils
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
27a2a80776494fe1    1 of  14   kotlin/collections/ArraysKt__ArraysJVMKt
5808e4c040c76e00    7 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
82fa1fbb4de56ab5   12 of  24   kotlinx/coroutines/AbstractCoroutine
3ad67f7f3b6530db    7 of   8   androidx/activity/SystemBarStyle$Companion$auto$1
865d6fc41ff7d877   13 of 234   org/moire/opensudoku/db/SudokuDatabase
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
72785c07020c6a69    6 of   6   androidx/lifecycle/ProcessLifecycleOwner$attach$1$onActivityPreCreated$1
3ff47c86869a97f3    3 of   3   androidx/fragment/app/Fragment$2
