[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
a0ad934393dfd2bf    5 of   7   androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable
2cbdbe283bea4bf0    2 of   2   com/orgzly/android/db/dao/NoteViewDao$Companion
57972f3aa49b5ea5    5 of   5   com/orgzly/android/prefs/IntegerPreference$parseAttrs$1
c3e58f84a5345bc6    1 of   5   androidx/swiperefreshlayout/widget/CircularProgressDrawable$1
2eee4f0bb643153f    1 of  22   com/orgzly/android/db/OrgzlyDatabase$Companion$MIGRATION_154_155$1
c4580f189570fcac    5 of  37   kotlinx/coroutines/UndispatchedCoroutine
fe29bb1c8c302b9a    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
113b35940757815b    8 of  19   com/google/android/material/appbar/ViewUtilsLollipop
6a5b988de14ea13c   13 of  69   org/joda/time/chrono/BasicGJChronology
9462becba3d35bd2   21 of  24   com/orgzly/android/App
aed22020bd9441cd    4 of  10   androidx/core/graphics/drawable/DrawableCompat$Api21Impl
8ad89464cb005711    2 of  26   kotlin/jvm/internal/ReflectionFactory
ff84b55d7b1e8369    6 of   7   androidx/recyclerview/widget/DefaultItemAnimator$5
65bc66f4440805f1   28 of  66   androidx/lifecycle/SavedStateViewModelFactory
43780e10c82817f2    1 of   3   com/orgzly/android/db/PreRoomMigration$MIGRATION_136_137$1
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
e6ffbaf0b54f5bf4  225 of 428   com/google/android/material/shape/MaterialShapeDrawable
112d79a0ae65f455    1 of   2   com/orgzly/android/db/dao/NoteEventDao_Impl$5
238c38b27d3074cc    2 of   3   androidx/core/os/TraceCompat$Api18Impl
de1bd9cd3d39c82c    2 of  16   androidx/lifecycle/FlowLiveDataConversions
58735894ab69d94a   10 of  19   kotlinx/coroutines/flow/AbstractFlow
b373fef51763b821   24 of 151   com/orgzly/android/db/entity/OrgTimestamp
4379d82c6d3984a9    2 of  24   androidx/core/widget/EdgeEffectCompat
bd1dcf52745f14d8    2 of   2   androidx/fragment/app/FragmentManager$4
ff6ee9c54470c012    1 of  10   androidx/lifecycle/ViewTreeLifecycleOwner
2cac496896762179    2 of   2   androidx/work/impl/model/WorkProgressDao_Impl$2
fae06eca0ce67a01    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$8
b75a58a03d081020    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
db2b522118dbc309    4 of  40   androidx/core/view/WindowInsetsCompat$BuilderImpl
cce980a793f00d65    2 of   2   androidx/recyclerview/widget/RecyclerView$RecycledViewPool$ScrapData
62dc58c50e3466f0  100 of 297   androidx/appcompat/view/menu/MenuItemImpl
36a45eeb2275e8e5   23 of 265   kotlin/collections/MapsKt__MapsKt
fe2f7ade8b6c3d79   18 of  21   com/google/android/material/dialog/MaterialDialogs
f49f584743effdd2    6 of  12   androidx/recyclerview/widget/RecyclerView$ItemAnimatorRestoreListener
d2015442d5cb016f    6 of  16   org/joda/time/field/SkipDateTimeField
a0fbb3bd842aa584    3 of  41   kotlinx/coroutines/channels/ChannelResult
145f90e6a5d76387   14 of  71   com/orgzly/org/datetime/OrgDateTimeUtils
0222c6b2640d4277   10 of  43   org/joda/time/field/DividedDateTimeField
0ac9652def3b8231    2 of   6   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuViewAccessibilityDelegate
753936b85beada84   75 of 119   kotlin/jvm/internal/ClassReference
22b7d5b7642ff1da    2 of  16   androidx/work/impl/constraints/controllers/NetworkNotRoamingController
ea50f29ea2b7588f    2 of   2   androidx/lifecycle/Transformations$1
57497a38ebe02467   69 of 291   kotlinx/coroutines/scheduling/CoroutineScheduler
44c72c82fda9571b   55 of 113   androidx/preference/PreferenceInflater
e4024d6da45b8fcc    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
83aee87148d801fd    8 of  11   androidx/collection/MapCollections$ArrayIterator
e7c70ef67de3a629    2 of  26   androidx/core/widget/CheckedTextViewCompat
300db67048f89c7b   40 of 292   com/orgzly/android/db/PreRoomMigration
470455c44977a948    6 of  42   androidx/work/impl/WorkDatabasePathHelper
