[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/StreetComplete-_v53.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
9c9ebd786bf113dc   14 of  35   de/westnordost/streetcomplete/databinding/FragmentAchievementInfoBinding
60789d4fbca4a042    6 of   6   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievementsModule$1$5
1f380b57a0fccd42    2 of   5   de/westnordost/streetcomplete/quests/building_entrance_reference/AddEntranceReference$noEntranceRefFilter$2
ad2b4900563873c0    2 of  13   de/westnordost/streetcomplete/data/user/statistics/CountryStatisticsDao
32ceddd8e8313ef3    3 of  42   de/westnordost/streetcomplete/data/osm/edits/upload/changesets/OpenChangesetsManager
78c93ce649598ca3    2 of   5   de/westnordost/streetcomplete/quests/max_height/AddMaxHeight$nodeFilter$2
2312f477c4ba320a    6 of  51   de/westnordost/streetcomplete/data/visiblequests/QuestPresetsController
c335b5c72997b685    2 of   2   de/westnordost/streetcomplete/screens/main/map/StyleableOverlayManager$Companion
d8ede2271bad9885    8 of  12   de/westnordost/streetcomplete/screens/main/controls/AnswersCounterFragment$onStart$1
90ceeac9e0bac35f    5 of   8   de/westnordost/streetcomplete/data/UnsyncedChangesCountSource$getSolvedCount$2
25392b47f1cf7e52   12 of  53   de/westnordost/streetcomplete/JacocoInstrument/JacocoInstrumentation
e3be612304708f06    2 of   4   de/westnordost/streetcomplete/data/quest/QuestAutoSyncer$userLoginStatusListener$1
