[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Kiwix-_3.11.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ee9698e7a4c183f7    7 of  10   kotlinx/coroutines/ThreadLocalEventLoop
06303195799ebf71    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
e3ffc1638e7e6dac    6 of  35   androidx/recyclerview/widget/RecyclerView$RecyclerViewDataObserver
4c8f408d9b68b625    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
166868c6073dc8c6    1 of   5   androidx/fragment/app/FragmentManager$2
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
142085a151e4f139    2 of   7   leakcanary/WorkManagerHeapAnalyzer$workManagerSupportsExpeditedRequests$2
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
55c4aed254531e18   17 of  20   org/kiwix/kiwixmobile/core/dao/entities/BookmarkEntity_
cc71d810aea40b9b   21 of  61   androidx/navigation/NavArgument
345ce771ed749f06    2 of  42   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
e33cf84b79ca53e2    6 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
a433634602b9d4ac    5 of   5   org/kiwix/kiwixmobile/core/utils/SharedPreferenceUtil_Factory
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
4c59a2e201a7ae7f    3 of   3   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT
1ba8bc61d6e81042    8 of  10   org/kiwix/kiwixmobile/core/NightModeConfig$UiMode
eb43fa7c028a72d6    1 of   2   androidx/core/widget/CheckedTextViewCompat$Api16Impl
e9fa5f0871caf65d   21 of  49   androidx/lifecycle/ViewModel
9961811771647874    4 of   4   shark/AndroidReferenceMatchers$SEM_CLIPBOARD_MANAGER__MCONTEXT
3f0808555f46597c    1 of   2   io/reactivex/internal/functions/Functions$NullCallable
3fe666670ad88231    1 of  34   com/google/android/material/bottomappbar/BottomAppBar$Behavior$1
9d938e001efcec05    1 of   3   shark/AndroidObjectInspectors$ANIMATOR
5fa71a272956fdb8    1 of   2   androidx/appcompat/widget/Toolbar$2
cbe3b24e29efd134    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
aef50ee6cfaececa   20 of  48   okio/Segment
a18aa17e7cea3d67    3 of   3   shark/AndroidReferenceMatchers$BACKDROP_FRAME_RENDERER__MDECORVIEW
837aabafa3389a94    3 of  28   leakcanary/ViewLocationHolderLeakFix
b73ca6782a5f4a61   43 of  97   com/tonyodev/fetch2/helper/PriorityListProcessorImpl
40fc91b12dddbdeb    2 of  15   io/reactivex/android/schedulers/AndroidSchedulers
b7311bb88bf8460f    1 of  18   androidx/recyclerview/widget/ItemTouchHelper$ItemTouchHelperGestureListener
05996188a8041d93    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
482b054e11f4fd1b   18 of 127   kotlin/jvm/internal/Intrinsics
fa304a869555f46c    4 of   4   shark/AndroidReferenceMatchers$MEDIA_SESSION_LEGACY_HELPER__SINSTANCE
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
c28c2d3d6383fda3    5 of   5   org/kiwix/kiwixmobile/intro/CustomPageIndicator$PendingRevealAnimator$2
f61d07c6e6f8b6b1    1 of   2   org/threeten/bp/zone/ZoneRulesInitializer$DoNothingZoneRulesInitializer
df60e8640de6bb70   11 of  69   com/google/android/material/appbar/HeaderScrollingViewBehavior
084a4d3c92ebe60f   29 of 115   androidx/core/view/WindowInsetsCompat
65c53c5cce62f668    4 of  10   io/reactivex/internal/operators/observable/ObservableSubscribeOn$SubscribeOnObserver
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
f03df6139cbcab0b    2 of  10   shark/AndroidReferenceMatchers$CLIPBOARD_UI_MANAGER__SINSTANCE$add$1
8f6da499bf9795fa    1 of 547   com/tonyodev/fetch2/fetch/ListenerCoordinator$mainListener$1
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
8db84235c321ed0e   41 of 126   androidx/core/content/FileProvider
18d5d70bd3f34d8e    5 of   9   kotlin/coroutines/EmptyCoroutineContext
a0027c1598275595   17 of  40   kotlinx/coroutines/BlockingCoroutine
054862dfc48992b9   14 of  34   leakcanary/internal/VisibilityTracker
e85c2bb22104e343    3 of   3   org/kiwix/kiwixmobile/intro/CustomViewPager$CustomScroller
323bd697b35bd65d    2 of   2   androidx/sqlite/db/framework/FrameworkSQLiteDatabase$Companion
a864b46e82d1af70    1 of   4   kotlinx/coroutines/flow/ReadonlySharedFlow
c6afbf0558f830fe    8 of  49   org/kiwix/kiwixmobile/core/main/MainRepositoryActions
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
72183e15621c8fbc    3 of   3   androidx/navigation/NavBackStackEntry$SavedStateViewModel
794816bef34c3d09    2 of   9   shark/AndroidReferenceMatchers$WINDOW_ON_BACK_INVOKED_DISPATCHER__STUB$add$1
6b6822af6180f9f4   31 of  54   com/tonyodev/fetch2/fetch/FetchModulesBuilder
529e53fd5c043cdf   20 of  95   com/tonyodev/fetch2core/HandlerWrapper
9b1bbbc8378c06e7    8 of  23   kotlinx/coroutines/DispatchedCoroutine
69c94d974af00f14    5 of   8   kotlinx/coroutines/CoroutineContextKt$hasCopyableElements$1
594c813596199fdb    2 of  41   org/kiwix/kiwixmobile/core/extensions/ContextExtensionsKt
cee229b569227fc8    2 of   4   shark/AndroidObjectInspectors$ANDROIDX_FRAGMENT
f3025020acfd9e16    2 of  10   shark/AndroidReferenceMatchers$INSTRUMENTATION_RECOMMEND_ACTIVITY$add$1
3c554cbb174d466a    5 of   5   org/kiwix/kiwixmobile/core/utils/files/FileLogger$Companion
c9f6c2b5af3af5b2    1 of  10   io/reactivex/android/schedulers/HandlerScheduler
8016295d6a9a021c    4 of   6   leakcanary/AndroidLeakFixes$ACTIVITY_MANAGER
618f129b72efd036    4 of   6   kotlinx/coroutines/scheduling/TaskImpl
13982180267b35b3    2 of   6   leakcanary/internal/HeapDumpControl$backgroundUpdateHandler$2
02b2eed011079cb4    1 of   1   kotlin/coroutines/ContinuationInterceptor
6b157918afd62c0e   11 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
9e0970dbd4189b13   38 of 105   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
39f97c297933dd3a    1 of   7   com/google/android/material/navigation/NavigationView$1
4913ebf40c6fdf53    2 of   5   org/kiwix/kiwixmobile/core/di/modules/DownloaderModule_ProvidesDownloaderFactory
6f98267c2dd6b5ee  233 of 825   androidx/drawerlayout/widget/DrawerLayout
f9016ce84e395a37   28 of  87   androidx/room/RoomOpenHelper
5d583770d2957955    3 of   3   kotlin/sequences/SequencesKt__SequencesKt$asSequence$$inlined$Sequence$1
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
be938a448d77084a    8 of  13   androidx/navigation/NavAction
6a6be5e39378cd1f   22 of 507   androidx/customview/widget/ViewDragHelper
d651c5da83e0619b    3 of   3   shark/AndroidReferenceMatchers$MAPPER_CLIENT
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
7dc259511da308c1    2 of   5   org/kiwix/kiwixmobile/core/di/modules/DatabaseModule_ProvidesNewHistoryDaoFactory
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
8f8a0dc8d6d1b560    1 of   7   com/google/android/material/navigation/NavigationBarMenuView$1
0144bb5691abaa4d    6 of  31   androidx/core/graphics/Insets
cf4a260e31d18960    2 of   3   okhttp3/internal/connection/RealConnectionPool$cleanupTask$1
e1f6dbcca53a8ef5    4 of   6   io/reactivex/internal/operators/observable/ObservableObserveOn
ee66ab4f3fb04b6e    8 of  20   leakcanary/RootViewWatcher$listener$1
08afb0093f22067e    2 of   4   shark/AndroidObjectInspectors$FRAGMENT
66070d0314619e9b    8 of   8   kotlinx/coroutines/internal/SystemPropsKt
6bd15b036d2fdffd  121 of 347   com/google/android/material/navigation/NavigationBarMenuView
8e9f6164fd0500f8    2 of   9   shark/AndroidReferenceMatchers$SEM_PERSONA_MANAGER$add$1
05966d17d06cdaeb   11 of  19   androidx/arch/core/executor/ArchTaskExecutor
e719874ca51d3740    6 of   7   leakcanary/RemoteWorkManagerHeapAnalyzer$remoteLeakCanaryServiceInClasspath$2
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
b032a3e3d3c1d21c    2 of  14   com/tonyodev/fetch2/Status$Companion
0c178a643b5cff23    9 of  30   com/google/android/material/appbar/AppBarLayout$LayoutParams
abf3ed3a2c14e8d2    1 of  15   com/jakewharton/threetenabp/AssetsZoneRulesInitializer
35b66055806a579f    2 of   9   androidx/activity/result/ActivityResultRegistry$2
62b83e06e88fb629    1 of   2   io/reactivex/internal/functions/Functions$FalsePredicate
f6668c6be9ab71be    1 of   2   androidx/activity/result/contract/ActivityResultContract
75748f82cb796395    2 of  39   shark/AndroidObjectInspectors$CONTEXT_WRAPPER
0b7531a5da895243   35 of  80   androidx/savedstate/SavedStateRegistry
3ff47c86869a97f3    3 of   3   androidx/fragment/app/Fragment$2
4636e53b1840b953    1 of   2   androidx/appcompat/app/ToolbarActionBar$1
6a70874e29e056c1    1 of   3   shark/AndroidObjectInspectors$RECOMPOSER
7c7cf39bdddbd023   18 of  54   okhttp3/internal/platform/Android10Platform
b9169ace7a52abae    2 of   4   leakcanary/internal/navigation/NavigatingActivity$Companion$NO_MENU$1
213cd079ba71991c   25 of  51   okhttp3/internal/platform/android/AndroidLog
b9ee621db3b1ca6e    2 of   5   org/kiwix/kiwixmobile/core/di/modules/DownloaderModule_ProvidesDownloadRequesterFactory
d96511a3bd1177fb    1 of   4   androidx/webkit/internal/ApiFeature$Q
