[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AnyMemo-_10.12.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
5455552c51a37100    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
e3e3d2e8c5b63d66    1 of  30   kotlin/collections/AbstractList
6f98267c2dd6b5ee  180 of 825   androidx/drawerlayout/widget/DrawerLayout
4c7c7e814e6f854d   10 of  39   androidx/fragment/app/FragmentHostCallback
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
33d32fd7b7bfc259    3 of 153   androidx/transition/Visibility
a0a46a4dae596554    1 of   5   org/liberty/android/fantastischmemo/common/AMPrefKeys
106383017e106494    6 of  74   androidx/core/view/ViewConfigurationCompat
58fab761cabb2cc9    4 of   5   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
b5c65408d3b65392    4 of  35   org/liberty/android/fantastischmemo/entity/Option
89d44ad14d28d7c7   13 of  77   androidx/loader/app/LoaderManagerImpl$LoaderInfo
6a39707822fbd151    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
6e6383d4bf7b1b22   30 of 349   androidx/recyclerview/widget/DefaultItemAnimator
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
7e4252156564a8c7    2 of  17   androidx/activity/result/ActivityResultRegistry$register$3
bb7025ee6443e32a    9 of  30   org/liberty/android/fantastischmemo/utils/RecentListUtil
f813546d98bfbd39    1 of   7   com/google/android/material/shape/MaterialShapeDrawable$2
0feea97f1715a87d    6 of   9   com/j256/ormlite/field/types/StringType
e8d63a9bc37ef8c9   15 of  42   androidx/recyclerview/widget/RecyclerView$RecyclerViewDataObserver
eb03522e3b18dbce   88 of 135   com/google/android/material/shape/ShapeAppearanceModel
c57627d839ba3ae8    9 of  20   org/liberty/android/fantastischmemo/ui/AnyMemo$2
d76e91a8eb69e451    3 of  91   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback
bb48a9fdf84630f3   80 of 292   androidx/appcompat/view/menu/MenuItemImpl
26703078bff883f6    1 of  25   androidx/recyclerview/widget/AdapterHelper$UpdateOp
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
63c681d9bf5cb74b   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
f08da4cb7777013b    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesZipExporterFactory
7ed4f49952c10a87    8 of  11   com/google/android/material/animation/AnimationUtils
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
9025ecef67eab12e    1 of   5   androidx/fragment/app/FragmentTransaction$Op
5808e4c040c76e00    7 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
1226df0a52349d17   14 of  27   com/j256/ormlite/field/types/BaseDateType
d4098d52f80fe342    1 of   5   androidx/transition/ChangeBounds$2
745499569eb0e1a5    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
1884758b09b646ae    4 of   4   org/liberty/android/fantastischmemo/ui/RecentListFragment$RecentListLoaderCallbacks$1
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
7cbecc82d7bbcd9b   19 of  80   androidx/savedstate/SavedStateRegistry
fffdafca56e79ccc    4 of   6   com/j256/ormlite/android/compat/ApiCompatibilityUtils
4a84cef768e01eb3    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
59b14964bbbb814e   11 of  22   androidx/lifecycle/ReportFragment$LifecycleCallbacks
e7b43612b93d6abb    1 of   2   androidx/recyclerview/widget/RecyclerView$3
d4950e28a9caf156    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
2f9ec038fb031686    7 of  17   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
e04a4cf1c67340ef    8 of  46   androidx/core/view/ViewCompat$Api21Impl
c6daec9591d8f1bf   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
16def97226c4e351    9 of  39   androidx/loader/app/LoaderManagerImpl$LoaderViewModel
f48cc2199487e82e    4 of  99   kotlin/random/Random
e2b3339da244792a    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
30cdcf09e2b9473c    3 of   5   androidx/fragment/app/FragmentManager$2
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
48171cdf1b67fde9    4 of   4   androidx/constraintlayout/core/Cache
853fb84c872b0012    4 of   5   com/google/android/material/shape/RoundedCornerTreatment
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
045831051376ac65    2 of  12   org/liberty/android/fantastischmemo/utils/RecentListActionModeUtil$ActionModeCallback
8b5b5e3d1849ef61    2 of   6   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuViewAccessibilityDelegate
4840e2b82f8d6f25   16 of  20   org/liberty/android/fantastischmemo/common/AMApplication
36cb5548fda7bc76   20 of  34   com/j256/ormlite/stmt/query/ManyClause
48b69f555326c691   12 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
f4532ad379c38d17    7 of  13   com/j256/ormlite/field/types/IntegerObjectType
48dea95f0f89a45d    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesSupermemo2008XMLImporterFactory
080306b0934977a1    6 of  61   org/liberty/android/fantastischmemo/utils/AMFileUtil
82548dc1750840fe   25 of 161   androidx/activity/result/ActivityResultRegistry
ed64b53d54915ead    5 of  50   kotlin/collections/EmptyList
c83211dab79b5415    9 of  14   com/j256/ormlite/stmt/StatementBuilder$WhereOperation
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
5fde4b8403509d66   32 of  83   androidx/profileinstaller/ProfileVerifier
2542bc99dc22af96    1 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
4147ff7e1ee6eaae    1 of   2   androidx/fragment/app/Fragment$1
44531950b367e411    6 of  14   androidx/core/view/ViewCompat$Api21Impl$1
3de6b038421265b1    5 of  56   kotlin/sequences/SequencesKt__SequencesKt
7fab3bdaf5d38bdc  110 of 133   com/google/android/material/shape/ShapeAppearancePathProvider
5cc7e1ce65df2aa9    1 of   2   androidx/customview/widget/ViewDragHelper$1
4da08fe1b6442e85   14 of  26   com/j256/ormlite/logger/LoggerFactory
4cabf1ef92aff56b    2 of  16   androidx/core/view/WindowInsetsCompat$Impl28
9cbdc369f3500600   12 of  22   com/j256/ormlite/stmt/query/InSubQuery
6d701b00b7c8ab3e    1 of   5   androidx/collection/internal/Lock
431693ea6e8ab4f0    1 of  16   org/liberty/android/fantastischmemo/ui/AnyMemo$1
06a825d6bb38cac0    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
dbc6e9f94ca3c414   19 of  26   org/liberty/android/fantastischmemo/databinding/MainTabsBindingImpl
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
ca1e6726fa606dc8    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
55d786d0c2a7ab31    3 of   5   com/j256/ormlite/field/types/ByteType
2107a08a1aeb01ff   18 of  29   org/liberty/android/fantastischmemo/common/AMEnv
2e1e2fae549e9fb5    9 of  72   com/google/android/material/resources/MaterialResources
2e1bd8e851cfbda2    3 of   3   androidx/lifecycle/viewmodel/CreationExtras
738386829f01309e    3 of   3   kotlin/random/FallbackThreadLocalRandom
7e69928587c441b6   15 of  15   org/liberty/android/fantastischmemo/ui/RecentListFragment$DividerItemDecoration
691b20a00245e161    5 of   8   androidx/fragment/app/SpecialEffectsController$Operation$WhenMappings
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
36906db012b7bb36    6 of  28   kotlin/collections/EmptySet
567363abe845773e   10 of  58   org/liberty/android/fantastischmemo/provider/CardProvider
14e7636e8073655e   71 of 209   androidx/constraintlayout/widget/ConstraintLayout$Measurer
021ecf06a73e2082    4 of  32   kotlin/collections/EmptyMap
f04b450d75f36a10   15 of  64   androidx/appcompat/view/menu/BaseMenuPresenter
d6c5aa7741a1ffb4    2 of   5   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesMnemosyneXMLImporterFactory
392f6cdd68667f33    2 of   2   androidx/activity/result/ActivityResultRegistry$Companion
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
ee2b50caf30c8f45    1 of   2   org/liberty/android/fantastischmemo/ui/RecentListFragment$2
2e697008d2ec8621    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
8c2c0fba93ebd2d0    1 of   2   org/liberty/android/fantastischmemo/modules/AppModules_ProvidesZipExporterFactory$InstanceHolder
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
6c37c9042409538d    1 of   4   androidx/lifecycle/LiveData$1
ceebbf7bded12d85    1 of  16   androidx/fragment/app/FragmentManager$10
b7d4115ccf44a30b    2 of   5   org/liberty/android/fantastischmemo/utils/AMDateUtil_Factory
53054b153380215c    1 of   2   org/liberty/android/fantastischmemo/utils/RecentListActionModeUtil$1
b2e316771b827dc6    1 of  11   androidx/core/view/ViewCompat$Api30Impl
