[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/nextcloud-_4792_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
efbd212fe916b89c    2 of  15   com/nextcloud/client/jobs/BackgroundJobFactory
ee08ab128f4c1047    1 of   3   com/nextcloud/client/di/DaggerAppComponent$24
1f0c95c2bc97c759    1 of   3   com/nextcloud/client/di/DaggerAppComponent$3
4b5f055b587257d7    3 of   3   com/nextcloud/client/di/DaggerAppComponent$50
d1f58fab54c5770a    1 of   3   com/nextcloud/client/di/DaggerAppComponent$42
5ed7e98c12ff18e4   31 of  32   com/owncloud/android/db/ProviderMeta$ProviderTableMeta
66065e06433d0ecc    5 of   5   com/nextcloud/client/preferences/PreferencesModule_AppPreferencesFactory
bd81f5c15aaf3fbe    1 of   6   com/nextcloud/client/media/PlayerServiceConnection$connection$1
5c461c181fb3e9bf    2 of   3   com/nextcloud/client/appinfo/AppInfoImpl
9e81180331658c9e  170 of 328   com/owncloud/android/MainApp
3c17aad2151b80e2    1 of   3   com/nextcloud/client/di/DaggerAppComponent$48
5473e47913b51b45    4 of  25   com/nextcloud/client/device/PowerManagementServiceImpl
6160e6d521fbc8fc    1 of   3   com/nextcloud/client/di/DaggerAppComponent$41
278bb5b3cacd595a    1 of   3   com/nextcloud/client/di/DaggerAppComponent$40
68573d71eca7d92b    8 of  15   com/owncloud/android/ui/activity/FileActivity$OperationsServiceConnection
db2f184cf9171568    5 of   5   com/nextcloud/client/di/DaggerAppComponent$OperationsServiceSubcomponentFactory
50b28673936f5c6e    1 of  13   com/owncloud/android/files/services/FileDownloader$ServiceHandler
922faa1e49a9c80e    1 of   3   com/nextcloud/client/di/DaggerAppComponent$20
f565e954ac782f57    5 of   5   com/nextcloud/client/di/DaggerAppComponent$OperationsServiceSubcomponentImpl
f90fe1a5e3b3df95   12 of  15   com/nextcloud/client/di/ActivityInjector
f7584ec36d2083d6    1 of   3   com/nextcloud/client/di/DaggerAppComponent$49
a0091c9217034739   15 of  15   com/nextcloud/client/jobs/BackgroundJobManagerImpl
3899441e8f4a7f00    6 of  12   com/owncloud/android/datamodel/UploadsStorageManager$UploadStatus
a4ad03322c5c28ca    1 of   3   com/nextcloud/client/di/DaggerAppComponent$46
7978b1237636c4fd   10 of  11   com/owncloud/android/MainApp$1
bccaac1c8d24b52a    3 of  13   com/owncloud/android/ui/activity/FileDisplayActivity_MembersInjector
072e4b1bd1341091   12 of  53   com/owncloud/android/JacocoInstrumentation
4a13ec15d38ad677   20 of  34   com/owncloud/android/ui/whatsnew/ProgressIndicator
21038eab059e062f    5 of 486   com/owncloud/android/ui/helpers/FileOperationsHelper
cd6fff87b34047c0    2 of  98   com/owncloud/android/files/services/FileUploader$FileUploaderBinder
b93e85204a7ea106    2 of   2   com/nextcloud/client/logger/FileLogHandler$Companion
61cb87b4c10e9b29    3 of  57   com/owncloud/android/providers/DiskLruImageCacheFileProvider
d030e1c7cfa03596    5 of   5   com/nextcloud/client/di/DaggerAppComponent$DiskLruImageCacheFileProviderSubcomponentFactory
87f9588c56a32572    2 of   2   com/nextcloud/client/jobs/BackgroundJobManagerImpl$Companion
bf2ee780e0814011   18 of  64   com/owncloud/android/datamodel/ArbitraryDataProvider
355eb5273e37dc75    1 of   3   com/nextcloud/client/di/DaggerAppComponent$28
81e6ed59c833076a    1 of   3   com/nextcloud/client/di/DaggerAppComponent$18
1fc3bdce84cad805    1 of   3   com/nextcloud/client/di/DaggerAppComponent$37
91684626181fe53c    5 of 247   com/owncloud/android/operations/RefreshFolderOperation
0002ec0078b1862b    5 of   5   com/nextcloud/client/di/AppModule_ClockFactory
2245a5bc9b84014a    5 of   5   com/nextcloud/client/di/DaggerAppComponent$FileDownloaderSubcomponentImpl
4597dc49b99fc519    4 of  55   com/owncloud/android/ui/fragment/OCFileListFragment$MultiChoiceModeListener
b5d605687c0b4233    1 of   7   com/owncloud/android/ui/EmptyRecyclerView$1
da3d4c13640ea8ab   20 of  26   com/owncloud/android/datamodel/ThumbnailsCacheManager$InitDiskCacheTask
7911e67cec6f80dd    1 of  19   com/owncloud/android/ui/activity/BaseActivity$AccountCreationCallback
8f0406a2cfa20f42  111 of 128   com/nextcloud/client/di/DaggerAppComponent
db97d20bb5f8cca1    1 of   2   com/owncloud/android/BuildConfig
a891a91760d118ac    5 of   5   com/nextcloud/client/jobs/BackgroundJobFactory_Factory
de2299ff40a7b28d    5 of   5   com/nextcloud/client/di/AppModule_AccountManagerFactory
d9e1da8207baccff   10 of  13   com/nextcloud/client/logger/Level
03693c7b82f44f4e    2 of   4   com/owncloud/android/datastorage/StoragePoint$StorageType
e71ef39642bd4500    4 of   4   com/owncloud/android/authentication/AccountAuthenticatorService
b2d2f2dd55cdfda7    1 of   3   com/nextcloud/client/di/DaggerAppComponent$23
7215c258496c8dc0    1 of   5   com/owncloud/android/providers/DiskLruImageCacheFileProvider_MembersInjector
17216e19025ef0ac    4 of   7   com/owncloud/android/SMSInstrumentedReceiver
865ce16f270de89d    5 of   5   com/nextcloud/client/jobs/JobsModule_BackgroundJobManagerFactory
202b6b240faf6b56    1 of   5   com/owncloud/android/services/OperationsService_MembersInjector
6c3648954d6954e7    3 of  95   com/owncloud/android/ui/adapter/DiskLruImageCache
d884225a06d26aef    5 of   5   com/nextcloud/client/device/DeviceModule_PowerManagementServiceFactory
58ca263bf2ce6db1    5 of   5   com/nextcloud/client/di/AppModule_ContextFactory
6cd756e18e8f9511    9 of  55   com/owncloud/android/datamodel/ExternalLinksProvider
d8056c23fc81eed0    1 of   3   com/nextcloud/client/di/DaggerAppComponent$44
da7b920a039c7a4a  128 of 1111   com/owncloud/android/ui/activity/FileDisplayActivity
49d70a5e02fb1813    3 of   6   com/owncloud/android/ui/adapter/OCFileListAdapter$OCFileListFooterViewHolder_ViewBinding
64e1ee0aca8ef5e4   12 of 129   com/owncloud/android/datamodel/SyncedFolderProvider
2912710df510bf09    5 of   5   com/nextcloud/client/di/AppModule_ResourcesFactory
72ff3d6e26e4a16f    1 of   3   com/nextcloud/client/di/DaggerAppComponent$47
5c960655060ce993    5 of   5   com/nextcloud/client/di/DaggerAppComponent$UsersAndGroupsSearchProviderSubcomponentImpl

