[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ReadYou-_0.16.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
063fde45e6179fc6    3 of   3   androidx/compose/animation/CrossfadeKt$Crossfade$5$1$invoke$$inlined$animateFloat$2
274c1e65eaca7251    8 of 113   com/google/gson/reflect/TypeToken
9e67b1818feb61b9   14 of  27   androidx/compose/ui/unit/TextUnitType
d6e6cf3f031e3b72    6 of   8   androidx/compose/ui/platform/HapticDefaults
5f5b59552e6529d2    1 of   5   me/ash/reader/infrastructure/di/DatabaseModule_ProvideReaderDatabaseFactory
503bd9e58f2c2748    7 of   8   androidx/compose/ui/platform/AndroidUiFrameClock$withFrameNanos$2$callback$1
bce0ea6164b83382    5 of   6   net/dankito/readability4j/processor/ArticleGrabber$cleanHeaders$$inlined$forEach$lambda$1
ef2156c553666b3c   19 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
bb24781c47fd6504    2 of   4   com/rometools/rome/feed/synd/impl/URINormalizer
91feee4df4220a50    1 of  14   org/jsoup/parser/TokeniserState$45
2b3f5ff912ab47a9   38 of 445   androidx/compose/ui/graphics/BezierKt
a446add44af282a7    5 of   9   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$4$1
3bfdbfd8fcf97914   10 of  24   kotlinx/coroutines/DispatchedCoroutine
6b49a1d4ddd2d686    8 of  12   me/ash/reader/infrastructure/preference/ReadingImageMaximizePreference$Companion
3ad09f9f78105c96   36 of  69   androidx/compose/foundation/layout/BoxMeasurePolicy
91036bfcc1dd7ae9  158 of 244   androidx/compose/ui/node/NodeKindKt
1cd91d055ec75ecb    2 of   2   me/ash/reader/infrastructure/preference/FeedsTopBarTonalElevationPreference$Level0
7d76fd5ab68fd771   11 of 119   com/rometools/rome/io/impl/RSS090Parser
c08882b9d2c75122    4 of  31   me/ash/reader/infrastructure/android/CrashHandler
88be828c890762e3    4 of  12   androidx/compose/ui/text/android/BoringLayoutFactoryDefault
c7dc358d8a7ff9f9   51 of 165   androidx/work/impl/WorkManagerImpl
2ce95db15c0cac83   92 of 349   androidx/compose/ui/text/android/TextLayout
5455552c51a37100    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
f09be23cf933ea48    6 of   8   kotlinx/coroutines/EventLoopImplPlatform
833e3b4e5d1fc4b3    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
db7068520e64dc9a    2 of   4   androidx/compose/ui/layout/NoOpSubcomposeSlotReusePolicy
b1c7af478461bb3c    8 of  11   kotlinx/coroutines/channels/ProducerCoroutine
1eacaa117036a556    6 of   6   androidx/compose/material3/adaptive/layout/PaneAdaptedValue$Companion
4292341c20631732    3 of   5   androidx/compose/ui/draw/AlphaKt
38097ceecd4d2849    1 of   2   androidx/work/impl/WorkDatabase_AutoMigration_20_21_Impl
24891d4e6eec96cf    7 of  12   androidx/compose/ui/node/MeasureAndLayoutDelegate$WhenMappings
a9f2552235fca8cb    6 of   9   okhttp3/internal/connection/RouteDatabase
d2bad2285d1adc60    5 of  36   kotlin/collections/AbstractCollection
1e6c6ebacc6bfd54   25 of  51   retrofit2/Retrofit$Builder
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
73022414ee32d8c8   21 of 468   androidx/collection/ObjectIntMap
dbd95ed399675d83   38 of 145   androidx/work/impl/model/WorkTypeConverters
5eebe5bee1d27b76   10 of  59   androidx/compose/ui/text/font/FontVariation
31b5fa094a4e0003    3 of   3   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$3$1
82b5e4242256e535    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalDensity$1
1dcda38a83ae3c1a    4 of  62   androidx/room/util/CursorUtil
