[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Calculator-You-_v3.1.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
94c80f6aab11bac4   14 of  19   org/javia/arity/DeclarationParser
76b6204e9339f7bb   28 of  78   com/google/android/material/internal/StaticLayoutBuilderCompat
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
a8f7f6d556143248    4 of  42   androidx/recyclerview/widget/RecyclerView$RecyclerViewDataObserver
d789d3ac5f5661fa    3 of  30   kotlin/collections/AbstractList
587532a486ecf6b4   11 of  20   androidx/constraintlayout/core/widgets/ConstraintAnchor$1
841fcff9c47a9516    4 of 127   androidx/recyclerview/widget/RecyclerView$ViewFlinger
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
ab79a9481c92c42d    5 of  19   kotlin/internal/jdk8/JDK8PlatformImplementations
ca1e6726fa606dc8    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
6a56eea921a7e7ca   25 of  29   org/javia/arity/Compiler
82886ebf41506ffe    3 of 321   androidx/constraintlayout/core/state/WidgetFrame
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
7eb5fe2b219edba4   37 of 922   kotlin/text/StringsKt__StringsKt
f04b450d75f36a10   17 of  64   androidx/appcompat/view/menu/BaseMenuPresenter
09f107e66dffa14f   12 of  52   androidx/fragment/app/FragmentController
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
c98777d3be982a65   61 of 229   androidx/viewpager2/adapter/FragmentStateAdapter
2e697008d2ec8621    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
eafe1f5882ac75a4    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
d872f36ccdc2f473    8 of  12   com/forz/calculator/calculator/Constant
bad22c5daa967eab    2 of   2   com/forz/calculator/MainActivity$Companion
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
246bee4e4fe0c771  136 of 390   com/google/android/material/tabs/TabLayout$TabView
bd036b3276e3ea64    5 of  53   androidx/core/view/MenuHostHelper
0b1bcc8ff35b1676    1 of   2   androidx/fragment/app/Fragment$1
bb28778dd778f967    8 of  13   androidx/recyclerview/widget/OrientationHelper
21f177d4bbdde743    1 of   2   androidx/fragment/app/FragmentContainer
7d134b27da5256db    2 of   2   androidx/lifecycle/viewmodel/internal/ViewModelProviders$ViewModelKey
748a627a05120123   12 of  13   androidx/lifecycle/Lifecycle$State
90f1d775621c3f5c    2 of   4   androidx/lifecycle/ViewModelProvider$Factory$Companion
39f3737dac46ac00   19 of  25   androidx/recyclerview/widget/OrientationHelper$1
a0a8b762a52e002d   26 of  76   androidx/recyclerview/widget/RecyclerView$Adapter
1fa55d6f039a9b9f    1 of   3   com/google/android/material/resources/TextAppearanceConfig
1d8d737f5704c326   11 of  13   com/forz/calculator/converter/data/AngleConverter
efed533179cc3fc1    5 of  10   androidx/appcompat/widget/AppCompatHintHelper
dbebfb9ce67dacd2    1 of   4   androidx/core/content/ContextCompat$Api23Impl
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
aa2d9ff8b54a2a45  571 of 1467   com/google/android/material/textfield/TextInputLayout
35b2173f04aa4cfa    2 of   5   androidx/fragment/app/FragmentTransaction$Op
ed379824c10696c8    8 of  12   com/forz/calculator/calculator/AdditionalOperator
6120c23f1960e8a1   82 of 182   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher
a62d2100be43ebb0   13 of  15   com/forz/calculator/converter/data/PowerConverter
c496254a6aa0a19e   61 of 226   androidx/activity/ComponentActivity
c8e8239f2a12e383  399 of 1610   androidx/constraintlayout/core/widgets/ConstraintWidget
8da202fb1c4971f8    1 of   4   androidx/core/view/PointerIconCompat$Api24Impl
21c3310bd0484a68   16 of  33   com/forz/calculator/databinding/FragmentDigitBinding
e3eabf79b1576f2e    1 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
add3979ca136998e    3 of  39   androidx/customview/poolingcontainer/PoolingContainer
8131efc59e2bd226    2 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
