[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/newpipe-_v0.25.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
075438dfe4ed7ade    7 of   7   com/facebook/stetho/Stetho$Initializer
cae5817a89a34384   22 of  37   okhttp3/internal/http2/Settings
0e1597aaa640ae44    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$9
899624a3ce89c200    6 of  10   io/reactivex/rxjava3/internal/operators/flowable/FlowableCombineLatest$CombineLatestInnerSubscriber
db2e0fe98321f626    2 of  33   org/acra/collector/ReflectionCollector
8a715f0de863bcdc    8 of  31   androidx/recyclerview/widget/RecyclerView$State
2bd04fda763893f7    2 of  28   androidx/recyclerview/widget/BatchingListUpdateCallback
04e8bac565ec5a0c    2 of   3   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration
15e5da48513e7f5e    5 of  60   androidx/appcompat/widget/DrawableUtils
13982180267b35b3    6 of   6   leakcanary/internal/HeapDumpControl$backgroundUpdateHandler$2
63c6c377d318327a    1 of   4   org/schabi/newpipe/database/stream/dao/StreamStateDAO_Impl$3
28ced4daf7caba0a   10 of  12   androidx/appcompat/app/ActionBarDrawerToggle$ToolbarCompatDelegate
6b157918afd62c0e   11 of  14   androidx/lifecycle/LiveData$LifecycleBoundObserver
99e728fd317ec1b2    9 of  16   androidx/cardview/widget/CardView$1
4d3882ed1c42824e    3 of  64   org/schabi/newpipe/local/feed/notifications/NotificationWorker
6f98267c2dd6b5ee  198 of 825   androidx/drawerlayout/widget/DrawerLayout
c39725e0cb6edcc5    5 of  85   androidx/core/graphics/TypefaceCompat
d8e6b13504ca5cc6    1 of  33   kotlin/collections/AbstractCollection
69464afe148666e1    1 of   7   io/reactivex/rxjava3/exceptions/Exceptions
4678d328d3ec7758    3 of   5   io/reactivex/rxjava3/internal/operators/flowable/FlowableMap
6325ef27e60f4be5    5 of   8   org/acra/data/StringFormat
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
0c05cee727670469    7 of   8   androidx/work/impl/WorkDatabaseMigrations
dfd043cb24e04917    1 of   7   androidx/work/impl/constraints/trackers/NetworkStateTracker$NetworkStateCallback
6a6be5e39378cd1f   23 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
b95b138ebce2d7c3   17 of  42   com/xwray/groupie/Item
0144bb5691abaa4d    5 of  31   androidx/core/graphics/Insets
cf4a260e31d18960    3 of   3   okhttp3/internal/connection/RealConnectionPool$cleanupTask$1
ee66ab4f3fb04b6e    8 of  20   leakcanary/RootViewWatcher$listener$1
ded859b416870013   12 of  32   okhttp3/internal/connection/Exchange$RequestBodySink
17a4e9c8866db9f8    1 of   3   com/google/android/material/internal/NavigationMenuItemView$1
21fec08a045744d9    5 of  12   io/reactivex/rxjava3/internal/operators/flowable/FlowableCreate
04b0700e537ba638    6 of  12   androidx/work/impl/utils/WorkForegroundRunnable
24411a21687e27e1    1 of   2   androidx/work/impl/WorkDatabaseMigrations$6
6ff6bcf82eef4fe1   55 of 173   androidx/work/impl/utils/EnqueueRunnable
b3a2adb88e35122e    7 of   8   org/schabi/newpipe/database/Migrations
cb23cec22eda8939   36 of  78   androidx/work/impl/WorkContinuationImpl
40f60d3970535f99    1 of   6   org/schabi/newpipe/database/feed/dao/FeedDAO
05966d17d06cdaeb   13 of  19   androidx/arch/core/executor/ArchTaskExecutor
c02c54fc32a0c476    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
e719874ca51d3740    6 of   7   leakcanary/RemoteWorkManagerHeapAnalyzer$remoteLeakCanaryServiceInClasspath$2
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
e9ea4721c05eac9a   34 of 120   org/schabi/newpipe/local/bookmark/BookmarkFragment
50bee97a2eebc539    1 of   6   androidx/preference/SwitchPreferenceCompat$Listener
35b66055806a579f    1 of   9   androidx/activity/result/ActivityResultRegistry$2
df08c67ca7cd7ca1    1 of  41   com/google/android/material/bottomsheet/BottomSheetBehavior$3
0b7531a5da895243   25 of  80   androidx/savedstate/SavedStateRegistry
4636e53b1840b953    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
7c7cf39bdddbd023   31 of  54   okhttp3/internal/platform/Android10Platform
e7b43612b93d6abb    1 of   2   androidx/recyclerview/widget/RecyclerView$3
6265d3ccd5eb1660    2 of  10   shark/AndroidReferenceMatchers$BUBBLE_POPUP_HELPER__SHELPER$add$1
b9169ace7a52abae    2 of   4   leakcanary/internal/navigation/NavigatingActivity$Companion$NO_MENU$1
5eda5611891593f8    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
399b23240b0e4397    2 of   4   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuViewAccessibilityDelegate
213cd079ba71991c   25 of  51   okhttp3/internal/platform/android/AndroidLog
9d8489e364b772fb    2 of  40   androidx/work/impl/constraints/trackers/BatteryChargingTracker
995898d3113c829c   12 of  29   okhttp3/internal/http/StatusLine$Companion
aeb7ddc489b298ee    3 of   5   androidx/appcompat/widget/TooltipCompat
c6f0c71fdf53ac93    6 of 111   okhttp3/internal/http/HttpHeaders
9d36b42d27c08ce8    2 of  45   org/schabi/newpipe/settings/tabs/Tab$PlaylistTab
fbb7625dc6a1cd7d    1 of   3   org/acra/collector/CustomDataCollector
e377be074237cd71    3 of   3   shark/AndroidReferenceMatchers$CONTROLLED_INPUT_CONNECTION_WRAPPER
1a37c7d8272ab8fd    3 of   3   shark/AndroidReferenceMatchers$IMM_CURRENT_INPUT_CONNECTION
1faa26cf93c4e89c   44 of 129   androidx/fragment/app/FragmentActivity
a3cacf111d1173f5    3 of   3   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
907c0a43489640e9    4 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
311f4c4370536f4d    4 of  15   androidx/work/impl/WorkerWrapper$2
a005af4f69af24a0   14 of  54   leakcanary/AndroidLeakFixes$Companion
196559f81876eaad    9 of  63   okhttp3/ResponseBody
ff2038532d9318ad    8 of  20   kotlin/text/Charsets
a51c23b4f5d01136    3 of   3   androidx/lifecycle/SavedStateHandlesProvider$viewModel$2
75c56b9db157dd5d    1 of   1   com/squareup/picasso/Dispatcher$DispatcherThread
48b69f555326c691   13 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
be1aecc3de975e1a    4 of   5   org/schabi/newpipe/ktx/ExecOnEndListener
254bdb11e2f93ef5    3 of   3   org/ocpsoft/prettytime/units/Millisecond
009dc7d51381a691   99 of 378   okhttp3/internal/connection/RealConnection
