[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0adb835814f62f66    1 of   6   androidx/appcompat/widget/AppCompatSpinner$DropdownPopup$1
f47dd6503a926aa8    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$inheritedStaticMembers$2
5f835749222c18ff    6 of  51   androidx/dynamicanimation/animation/SpringAnimation
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
3ff47c86869a97f3    1 of   3   androidx/fragment/app/Fragment$2
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
31cf8f9019b025c9   75 of 112   com/google/android/material/snackbar/BaseTransientBottomBar$SnackbarBaseLayout
e04a4cf1c67340ef   16 of  46   androidx/core/view/ViewCompat$Api21Impl
c6daec9591d8f1bf   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
23c779325b2723fe    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
682b70e385b57f53    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
dfb201b0eb099f39    2 of   2   com/github/kittinunf/fuel/core/requests/SuspendableRequestKt
51b4db1696bf3e28   27 of  55   com/github/kittinunf/fuel/core/FuelError
d404b87dedabe3ea    2 of   4   kotlinx/coroutines/android/HandlerDispatcher
bdf0199154eb82ca    6 of 209   kotlin/jvm/internal/TypeIntrinsics
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
76388ba0f6b5c168    3 of   8   kotlinx/coroutines/BuildersKt
48171cdf1b67fde9    4 of   4   androidx/constraintlayout/core/Cache
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
5efd62e62ad2d482    2 of   2   com/google/android/material/snackbar/BaseTransientBottomBar$11
ca67d2ddf555afa2    4 of  15   kotlin/reflect/jvm/internal/KProperty1Impl
ec81f94344c5bb57    9 of  59   de/salomax/currencies/viewmodel/main/MainViewModel$ratesInformationFooter$1
3292197588221195    6 of   6   de/salomax/currencies/util/LiveDataUtilsKt
d04292b867f10f5a    8 of  14   androidx/lifecycle/DefaultLifecycleObserverAdapter
cf40b16080820cf0    2 of  27   androidx/constraintlayout/widget/Guideline
51f6002a05a3de2a    3 of   3   kotlin/coroutines/jvm/internal/DebugProbesKt
b2a72cd4d0f634df    3 of   3   androidx/lifecycle/LiveData$AlwaysActiveObserver
8577248027bc2416    2 of   5   de/salomax/currencies/util/SharedPreferenceIntLiveData
48ccc74199b01c63   13 of  26   androidx/lifecycle/Lifecycle$Event$Companion
9b6f1a097b45b07c    2 of   2   kotlin/reflect/jvm/internal/impl/builtins/PrimitiveType$Companion
11134a24f27f5317    1 of   4   kotlin/coroutines/intrinsics/IntrinsicsKt__IntrinsicsKt
3092dfda4fbaaa92    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
3c67af655e652706    1 of   9   com/github/kittinunf/fuel/core/requests/SuspendableRequest$awaitResult$5$1
1cdd387d0dfcd33f    2 of  10   androidx/core/text/HtmlCompat
