[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6cf8f16b3293f030    3 of   5   androidx/compose/ui/contentcapture/ContentCaptureManager$Companion
7a1027d1c931759c    2 of   2   okhttp3/EventListener$Companion
f339e618edffc599    7 of   7   androidx/compose/ui/node/NodeCoordinator$hit$1
65ba215e2aaa9704    4 of  16   androidx/compose/ui/unit/IntOffsetKt
0a2d9746c780f42e    2 of   9   androidx/concurrent/futures/AbstractResolvableFuture$Waiter
9936b0ba7294329d    7 of   8   androidx/compose/ui/text/style/TextDirection$Companion
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
df38f0a20eb558c3   15 of  41   androidx/compose/ui/graphics/vector/VectorKt
25b9d240c14fcac3    2 of   2   androidx/compose/ui/text/intl/PlatformLocaleKt
0b1bcc8ff35b1676    1 of   2   androidx/fragment/app/Fragment$1
3b787b86b7f8cbde    6 of  10   androidx/compose/ui/focus/FocusStateImpl$WhenMappings
02ed11fc22efef60    2 of   2   kotlinx/coroutines/BlockingEventLoop
597cff7133a6c092    1 of  44   okhttp3/internal/io/FileSystem$Companion$SystemFileSystem
a931ee6f9c65cf84    5 of  39   androidx/compose/ui/text/font/FontWeight$Companion
ce8f22cbc80345f4    3 of  21   androidx/compose/ui/text/input/TextInputService
cc4f03b0cbb1c7c6    2 of   2   okhttp3/internal/cache/DiskLruCache$Companion
ab697f44c1664c3f    3 of   3   org/breezyweather/main/fragments/PushedManagementFragment$Companion
f08f8bd53d278da4    7 of   9   androidx/compose/animation/core/EasingKt
5869735fa5ac5512    2 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$VirtualConstructor$1
0b21de17d9a6d164   61 of 113   com/google/android/material/shape/ShapePath
81db111021026030    3 of  12   androidx/compose/ui/platform/coreshims/ViewCompatShims
132f79652da9421f   47 of 229   okhttp3/OkHttpClient$Builder
08e7f84266a54127    3 of   3   kotlinx/coroutines/flow/internal/NullSurrogateKt
d78048ba554cca24   72 of 248   androidx/collection/MutableScatterMap
7e9aa68b5d55ea7a   12 of  21   androidx/appcompat/widget/AppCompatDrawableManager
dbb2a4aa26f2bcd2    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
bdb91d658983efe9    3 of   8   kotlinx/coroutines/internal/ScopeCoroutine
523c6cb141b68c0e  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
83838bf00f1c9d94    2 of   7   breezyweather/data/AlertSeverityColumnAdapter
47e51b26664a3b44    4 of   4   androidx/compose/ui/layout/BeyondBoundsLayoutKt$ModifierLocalBeyondBoundsLayout$1
b26c70e399c10bcf    2 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetLayoutDirection$1
e9f4cf4cb51a5f73    2 of   3   kotlinx/coroutines/CancelHandler$UserSupplied
23ffd656a438ee5c    4 of  19   dagger/internal/LazyClassKeyMap
91571cfc1318fbe0   65 of  89   androidx/compose/ui/platform/WindowRecomposer_androidKt
d187c34c33671bdb    5 of   6   androidx/compose/ui/platform/WindowRecomposerFactory$Companion
e3233f9c63280f90   67 of 301   androidx/fragment/app/BackStackRecord
745499569eb0e1a5    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
82f035dcfa92e2e1    8 of 134   okhttp3/internal/connection/RealConnectionPool
5132bfd32fb0edf3    3 of  18   androidx/compose/ui/platform/AndroidAccessibilityManager
53ba5156223131c0    3 of   6   androidx/compose/ui/graphics/FilterQuality$Companion
83962f48163cb34f    4 of   6   androidx/compose/material3/internal/SystemBarsDefaultInsets_androidKt
