[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Notes-_1.7.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0ff7c2138a6db5cd    1 of  14   kotlin/collections/ArraysKt__ArraysJVMKt
e54a95fb1bce5137    1 of  11   kotlinx/coroutines/EventLoopKt
d3fc525745fbee00    6 of   8   kotlin/LazyThreadSafetyMode
1794608d4ee8bba1   24 of 106   org/fossify/notes/helpers/NotesHelper
a9b784f8b314840d    8 of  13   androidx/fragment/app/DefaultSpecialEffectsController$SpecialEffectsInfo
61ef74545258c5bb    7 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
2d18ac1060f9fbab    5 of   8   androidx/lifecycle/ViewModelProvider$Factory
571e206b86d7c3f9    2 of  23   org/fossify/commons/extensions/ImageViewKt
19142037c7bb7cc3    8 of  10   androidx/sqlite/driver/SupportSQLiteStatement$Companion$TransactionOperation
50d7136d784841ae    1 of   2   kotlinx/coroutines/internal/ThreadLocalKt
d06ea3b0bff9667b    5 of  29   kotlinx/coroutines/intrinsics/CancellableKt
91cc89f3462efc4f    1 of  92   org/fossify/notes/interfaces/WidgetsDao_Impl
9f090a337592bacc    1 of   6   androidx/coordinatorlayout/widget/CoordinatorLayout$ViewElevationComparator
aa6b0305983a6330    2 of   5   androidx/room/TriggerBasedInvalidationTracker$Companion
46c1168da01c5a34   30 of  57   androidx/room/TriggerBasedInvalidationTracker$syncTriggers$2$1
13bc9c2d1369a69f    3 of   6   kotlin/coroutines/intrinsics/CoroutineSingletons
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
a57826c55851e187    8 of  12   androidx/collection/IndexBasedArrayIterator
5fde4b8403509d66   32 of  83   androidx/profileinstaller/ProfileVerifier
7cd254d272c528a8    2 of   2   kotlin/collections/AbstractMutableSet
44531950b367e411    6 of  14   androidx/core/view/ViewCompat$Api21Impl$1
ac9abc708674dceb    2 of   2   kotlin/coroutines/ContinuationInterceptor$Key
1806273a1c681929    7 of  12   androidx/lifecycle/Lifecycle$Event$Companion$WhenMappings
97af8d829e92d6c0   11 of  20   org/fossify/commons/views/MyEditText
06a825d6bb38cac0    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
df8598064f3c8236    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
0f0be1cc0ec95a82    3 of  27   kotlin/collections/ArrayAsCollection
da6b069c9706317c   28 of 138   com/google/android/material/appbar/MaterialToolbar
c42176ea2b502316   14 of  30   androidx/room/concurrent/CloseBarrier
ca1e6726fa606dc8    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
79f67e2b45c05881    3 of  38   kotlin/jvm/internal/FunctionReference
cd1df93860a42e1c   10 of  61   androidx/navigationevent/NavigationEventInput
f6bfbafba33425ee   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
e96fd5c245bceb8e   93 of 140   androidx/lifecycle/LifecycleRegistry
2f724ea9628a71ce    8 of  43   kotlin/collections/CollectionsKt__CollectionsJVMKt
d247df9d1a7e853b    6 of 138   androidx/room/EntityInsertAdapter
691b20a00245e161    5 of   8   androidx/fragment/app/SpecialEffectsController$Operation$WhenMappings
8d95d5e57345e997    6 of  47   androidx/core/os/CancellationSignal
f04b450d75f36a10   38 of  64   androidx/appcompat/view/menu/BaseMenuPresenter
146141c139cc96c5    2 of   5   org/fossify/commons/extensions/SharedPreferencesProducerExtensionsKt
9066e61d45547985   65 of 239   androidx/collection/ArraySet
12f4594fcd288438    1 of   2   androidx/room/TriggerBasedInvalidationTracker$checkInvalidatedTables$1
2e697008d2ec8621    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
d134d737fe72a2de    2 of   3   kotlin/ranges/IntProgression$Companion
3290cfe3ca1fd5de    1 of   3   com/google/android/material/internal/ToolbarUtils$1
ef1274f64343c215    2 of   3   androidx/emoji2/text/EmojiCompat$CompatInternal19$1
1f7ebb5865eceb79    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
22f6f8e9617979d3   18 of  21   org/fossify/notes/databases/NotesDatabase_Impl
346dd98637c77095    3 of   6   androidx/fragment/app/Fragment$6
5c6ba335cd0c90e9   14 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
221a1c8896e51acc    9 of  22   kotlinx/coroutines/BuildersKt__BuildersKt
edae3b68d96a8510   11 of  19   androidx/core/util/Pools$SimplePool
0cc1c2da0de4593d   12 of  15   androidx/fragment/app/SpecialEffectsController$Operation$State$Companion
9a3da6de7a49a46f   11 of  55   kotlinx/coroutines/ExecutorCoroutineDispatcherImpl
b2e316771b827dc6    1 of  11   androidx/core/view/ViewCompat$Api30Impl
efed533179cc3fc1    2 of  10   androidx/appcompat/widget/AppCompatHintHelper
5184a4960d786abe    2 of  30   kotlin/collections/AbstractList
2d97818ab06e36a7    8 of  15   org/fossify/commons/extensions/DrawableKt
a79ed9a38a79ee9d    2 of   2   androidx/navigationevent/NavigationEventTransitionState$Companion
804424c398ae4ef0   11 of  24   kotlin/sequences/GeneratorSequence$iterator$1
aaa2962edfdec988    1 of   5   androidx/profileinstaller/ProfileVersion
4c173190d24f0515   16 of 10849   kotlin/collections/ArraysKt___ArraysKt
7b7f623bc6945d30    2 of  39   androidx/activity/ComponentActivity$activityResultRegistry$1
967cfe0ffcc7ce54    7 of   9   androidx/room/coroutines/PassthroughConnectionPool$ConnectionElement
c017ab541ff0fe50    2 of   2   androidx/fragment/app/strictmode/FragmentStrictMode$Policy$Companion
9724da2d247d4b91    1 of  13   androidx/core/util/ObjectsCompat
5f52c3092fe3d15e   11 of  18   androidx/room/coroutines/PassthroughConnectionPool
3d00d608f71c6ef3    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
0013351a438b1c65    2 of   2   kotlinx/coroutines/scheduling/CoroutineScheduler$Companion
f184e4f790a3e738    8 of  50   kotlin/collections/EmptyList
e3eabf79b1576f2e    2 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
4a8565caba1947bb    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
62a032c057c2154c    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
cc366f025c1885dd  148 of 525   com/google/android/material/shape/MaterialShapeDrawable
1d8ce3ef77af3334    8 of  18   kotlinx/coroutines/CoroutineDispatcher
1ace98e3e506542b   12 of  25   com/duolingo/open/rtlviewpager/DelegatingPagerAdapter
e5cb254026f4fd79    1 of   8   org/fossify/notes/interfaces/NotesDao_Impl$2
9bc23e1c382ecef6    1 of   9   androidx/core/view/WindowInsetsCompat$Impl31
