[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Cofi-_v1.21.5-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
b92b3ed384522276    5 of   7   androidx/compose/material3/SwipeToDismissBoxValue
32867ac1c109c890  175 of 237   androidx/compose/material3/SwipeToDismissBoxKt
9bc3937c0edbc782    1 of  40   androidx/navigation/NavType$Companion$BoolArrayType$1
49371a42cd9dbf0e    6 of   8   androidx/compose/ui/node/BackwardsCompatNodeKt
12ef4bc02e67f6a0    1 of   3   androidx/compose/foundation/layout/WrapContentElement$Companion$height$1
cae419942406769f    2 of   7   androidx/compose/ui/node/OwnerSnapshotObserver$onCommitAffectingLookahead$1
fa589bccb205127a    6 of  10   androidx/compose/ui/geometry/CornerRadiusKt
f9eed80e9e90fe80   18 of  82   androidx/compose/runtime/snapshots/SnapshotWeakSet
5dbd24323012a86d    2 of   4   androidx/compose/material3/AppBarKt$TopAppBarLayout$1$2
7e4252156564a8c7    2 of  17   androidx/activity/result/ActivityResultRegistry$register$3
3d0d9efd518a138f    2 of  12   androidx/compose/foundation/lazy/grid/LazyGridBeyondBoundsState
e15dddcee2e97f82    2 of  13   androidx/compose/ui/graphics/vector/PathNode$VerticalTo
c90fddaab38486da   10 of  22   androidx/navigation/compose/NavHostKt$NavHost$finalEnter$1$1
6bf9deadc1f0b558    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$10
cb2eb5bd76ad09c3    6 of  12   androidx/compose/foundation/gestures/DefaultFlingBehavior
66070d0314619e9b    8 of   8   kotlinx/coroutines/internal/SystemPropsKt
4bb26a1fa9be4a12    4 of   8   androidx/compose/ui/platform/AndroidComposeView$resendMotionEventOnLayout$1
17c8ee95991c6244    1 of   2   androidx/datastore/core/handlers/NoOpCorruptionHandler
c91fb87a402f9341    3 of   4   kotlinx/coroutines/flow/DistinctFlowImpl
84292170298aeedc    2 of  24   androidx/compose/ui/text/SaversKt$ShadowSaver$2
612ee8d2894082ac   44 of 118   androidx/room/RoomDatabase$Builder
3c85030655868816    6 of  34   com/google/android/gms/wearable/Wearable
22c3b94781d01842    6 of   7   com/omelan/cofi/share/model/RecipeViewModel
545faf445808010b   11 of  55   androidx/compose/foundation/shape/RoundedCornerShapeKt
dd073b0989efadf9   11 of  44   androidx/compose/animation/core/CubicBezierEasing
97a0864ee11412e1    2 of   6   androidx/compose/foundation/lazy/layout/PrefetchHandleProvider
3f678e382d617e22    1 of   2   androidx/compose/runtime/Composer$Companion$Empty$1
53eb0561e93bfdac    1 of  12   androidx/compose/ui/node/NodeCoordinator$Companion$SemanticsSource$1
f73ec03778e10df5    5 of  28   androidx/compose/ui/graphics/vector/PathNode$RelativeQuadTo
e828acb6995cbfdd    2 of  12   androidx/compose/material3/ComposableSingletons$ScaffoldKt$lambda-1$1
2f9ec038fb031686    7 of  17   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
0c5001d2cfbe6019    3 of   3   androidx/room/SharedSQLiteStatement$stmt$2
23c779325b2723fe    2 of   7   kotlinx/coroutines/internal/ThreadContextKt$findOne$1
6f26a21310605f79    5 of   5   androidx/compose/runtime/SnapshotMutableIntStateImpl$IntStateStateRecord
baca9a2ce72aa5e3   28 of  44   androidx/compose/runtime/Recomposer$recompositionRunner$2$unregisterApplyObserver$1
950706461a09eb78    5 of   6   androidx/compose/animation/FlingCalculatorKt
5c0422beb985c50c    7 of  10   androidx/compose/runtime/CompositionContext
65e81b5826653ae3   28 of 176   androidx/work/impl/WorkManagerImpl
34e6091fa0b35f7d   21 of  26   androidx/compose/foundation/lazy/LazyListItemProviderKt
d404b87dedabe3ea    2 of   4   kotlinx/coroutines/android/HandlerDispatcher
bc6d55134a0be14d    5 of   6   androidx/compose/ui/unit/LayoutDirection
3b595b21e4dcc6e6    8 of 843   androidx/compose/foundation/gestures/DragGestureDetectorKt
f3a537dee8d22eea    1 of  18   androidx/compose/ui/node/NodeKind
5640bdecf1615882    6 of  22   androidx/lifecycle/LegacySavedStateHandleController
4152ca81ec3ba5b8    7 of  17   androidx/compose/material3/tokens/TopAppBarMediumTokens
f933e0acb9c9e203    1 of   3   com/google/android/gms/common/api/Api$BaseClientBuilder
7a7708c9464d16ae    4 of  20   com/google/android/gms/wearable/internal/zzhd
6c7a862be3582b69    1 of  19   com/google/android/gms/common/api/internal/zaag
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
94e6923159359d82    3 of   3   androidx/compose/runtime/DerivedSnapshotState$ResultRecord$Companion
2d986b466d0249bc    1 of   9   com/omelan/cofi/pages/settings/CommonKt$settings$2$4
79ac0ab3eb7fba01    2 of  10   androidx/work/impl/WorkLauncherImpl
e95935f3072c59e4    2 of  10   androidx/compose/ui/semantics/ScrollAxisRange
a1eadeaa86e95bca    4 of   4   androidx/compose/foundation/layout/BoxKt$EmptyBoxMeasurePolicy$1$1
c439c1f0fa893d27  254 of 964   androidx/navigation/compose/NavHostKt
62919a289bbb0169    1 of  11   androidx/core/view/accessibility/AccessibilityNodeProviderCompat
8952437404dc0c96    3 of  16   androidx/compose/animation/core/AnimationKt
12f57391ec078f0d    2 of   4   androidx/compose/ui/text/input/CursorAnchorInfoController$textFieldToRootTransform$1
2cfce9545dda3a01    2 of   2   androidx/compose/ui/layout/AlignmentLine$Companion
cf6d732c40425e74    6 of  67   androidx/compose/ui/text/font/AsyncTypefaceCache
9fad96b2f15e7a39    6 of   9   androidx/navigation/NavHostController
422cacd4b4cbf84f    6 of  12   androidx/compose/ui/platform/WindowRecomposer_androidKt$createLifecycleAwareWindowRecomposer$2$onStateChanged$1$1$1
5ecea4434941f1b1    5 of  24   androidx/compose/ui/autofill/AndroidAutofill
e5bbc94a83908de5    4 of   4   androidx/compose/foundation/lazy/grid/LazyGridState$Companion$Saver$1
d411c058a62230ec    3 of  10   androidx/core/view/SoftwareKeyboardControllerCompat
77e04e69ace4b7ea   94 of 376   androidx/compose/animation/core/TransitionKt
c3b441ee3ba2fb73    1 of   9   androidx/compose/ui/platform/AndroidUiDispatcher$Companion$currentThread$1
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
00f748d81988332a    3 of  67   androidx/compose/ui/graphics/colorspace/Xyz
eaffd3c8a36fb8d5    1 of   5   androidx/compose/runtime/SnapshotLongStateKt__SnapshotLongStateKt
8b45776633c6ad70   18 of  27   androidx/compose/foundation/lazy/grid/LazySemanticsKt
73a7fb15dd8217aa   10 of  13   kotlinx/coroutines/CoroutineDispatcher
fc783c043d58df84   25 of  42   androidx/compose/material3/windowsizeclass/WindowHeightSizeClass$Companion
be3806db1a178057   54 of 189   androidx/compose/foundation/text/modifiers/TextStringSimpleNode
8987c986d6347491    7 of  40   androidx/compose/ui/text/Paragraph
392f6cdd68667f33    2 of   2   androidx/activity/result/ActivityResultRegistry$Companion
c465afed8f292606    4 of  11   androidx/datastore/core/okio/OkioStorage$canonicalPath$2
63f1bddfdae2e66b    2 of   3   androidx/compose/runtime/ParcelableSnapshotMutableIntState$Companion
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
5d0cf17fe6ad0875    6 of   7   androidx/work/ConfigurationKt$createDefaultExecutor$factory$1
0617b2b4559aa395    1 of   6   com/omelan/cofi/share/model/AppDatabaseKt$MIGRATION_1_2$1
3a57c4288566d9b5    9 of  31   androidx/lifecycle/SavedStateHandle$Companion
f02c538124a405a6    5 of   5   androidx/navigation/NavDestination$Companion$hierarchy$1
38a5452bb821e71f   16 of  24   androidx/compose/runtime/snapshots/GlobalSnapshot
0fee473512397850    8 of   9   androidx/compose/ui/node/LayoutNode$LayoutState
569d10f8bc78b8ae    1 of   4   androidx/core/os/HandlerCompat$Api28Impl
113b7afe2c60a512   10 of  14   com/omelan/cofi/share/model/RecipeIconTypeConverter
f47c611cc65ff187    8 of  16   kotlinx/coroutines/flow/internal/SafeCollector_commonKt$checkContext$result$1
6a02b76e4c1b73cf    3 of  15   androidx/compose/ui/unit/IntOffsetKt
80fea2553645d654    1 of   1   androidx/compose/ui/focus/FocusTargetModifierNodeKt
53bbccf3d3d76e24    2 of  16   androidx/compose/ui/unit/fontscaling/FontScaleConverterTable$Companion
cc3da0ecfeffb093   21 of  46   androidx/compose/ui/text/font/FontWeight
86694652c593c768    2 of   3   androidx/compose/ui/graphics/layer/LayerSnapshotV28
699553888d1975c2    5 of  32   androidx/compose/ui/scrollcapture/ScrollCapture
30b2227355ea45e3   11 of  32   androidx/navigation/NavDeepLinkDslBuilder
23f664b3be391bb6   20 of  55   androidx/compose/foundation/layout/Arrangement$SpacedAligned
295118fbf63b455e    1 of  11   androidx/navigation/NavType$Companion$FloatType$1
908cfa008e796624    2 of   2   androidx/compose/foundation/text/BasicTextKt$BasicText-VhcvRP8$$inlined$Layout$1
f1f626a95721a2ac   66 of 169   androidx/compose/material3/SurfaceKt
