[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
189bc5b28664fc23   94 of 281   okhttp3/HttpUrl
861645dd86ad6aa9    3 of   3   leakcanary/internal/activity/LeakActivity$leaksButtonIconView$2
993a96511dd93522    5 of  12   io/reactivex/rxjava3/internal/operators/completable/CompletableOnErrorReturn$OnErrorReturnMaybeObserver
7c228cf0b4ffd121    2 of   2   io/reactivex/rxjava3/internal/operators/single/SingleMap
3be186fabd0b0c74    8 of  29   com/google/android/gms/internal/cast/zzpb
b426a5fc551a9e6a    1 of   4   com/bumptech/glide/load/engine/ResourceRecycler$ResourceRecyclerCallback
7d7ade916a2b2730    4 of   4   okhttp3/internal/http2/Huffman$Node
5698752fe95d4ed2    2 of  32   androidx/core/view/LayoutInflaterCompat
b028a26d1b82b67c    1 of   5   com/google/gson/internal/bind/TypeAdapters$9
560b65159b01acdc    2 of   8   com/bumptech/glide/load/resource/bitmap/VideoDecoder$2
15d23a20d44383b9    1 of   2   org/schabi/newpipe/extractor/kiosk/KioskExtractor
87250f9e7990b685    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/lo
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
35e881f23b9c78fa    8 of  14   com/google/android/gms/internal/cast/zzki
6c5f2f90c9597ee6   54 of 456   com/google/android/gms/common/internal/safeparcel/SafeParcelWriter
5c7c7c14d8d77233    3 of   4   androidx/fragment/app/FragmentStateManager$1
77d273b9b8e766b7   14 of  27   com/google/android/datatransport/cct/internal/AutoBatchedLogRequestEncoder$AndroidClientInfoEncoder
52b97baf54450e83    6 of   6   com/google/android/datatransport/runtime/DaggerTransportRuntimeComponent$Builder
e2383585b679baeb    3 of   3   shark/AndroidReferenceMatchers$EDITTEXT_BLINK_MESSAGEQUEUE
1a4e4fe23afa3eed    1 of   3   androidx/core/graphics/drawable/DrawableCompat$Api23Impl
dee0683d69d8472f    2 of   2   free/rm/skytube/businessobjects/YouTube/newpipe/NewPipeTrendingItems
