[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
232f3c96b69d70b2    1 of   6   org/mozilla/focus/provider/ScreenshotDatabaseHelper$OpenHelper
01628870a2066882    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetCityHotelsUseCaseFactory
00e45921be032451    2 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGetInstantGameListUseCaseFactory
22d4018e603d62fe    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDownloadInfoViewModelFactory
258c31eed93e64c7    2 of  38   org/mozilla/rocket/abtesting/LocalAbTesting$assignedBuckets$2
cc149db637b9e187    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsMonitorDataSourceFactoryFactory
2869f936b93e07ff    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetCityVideosUseCaseFactory
c14b2734bc878f5e    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideCouponViewModelFactory
10911ce65eebb13b    3 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelRemoteDataSourceFactory
0218c2cc27445839    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideGetTopSitesAbTestingUseCaseFactory
06a8d469151a3671    5 of   5   org/mozilla/focus/telemetry/TelemetryWrapper$isTelemetryEnabled$1
e4541fabb3fccfa8    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideCheckIsInBucketListUseCaseFactory
4822e33c3bfdbb4f    5 of 100   org/mozilla/focus/widget/DefaultBrowserPreference
705dda75e2c15345    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetIsFxAccountUseCaseFactory
7b04a87928817c51    2 of  16   org/mozilla/rocket/content/game/di/GameModule_ProvideInstantGameViewModelFactory
df364f5abf71feaf    2 of   8   org/mozilla/rocket/di/AppModule_ProvideNewFeatureNoticeFactory
6c011b69ee30b6ec   15 of  43   org/mozilla/rocket/partner/PartnerActivator
73401eaebf7c3327    2 of   8   org/mozilla/rocket/di/AppModule_ProvideAppContextFactory
5a8f57dcec7ece9b    3 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDownloadInfoRepositoryFactory
ad4d7c97fb10537c    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideCompleteLiteUpdateUseCaseFactory
0789577cb75f2013    4 of  18   org/mozilla/focus/widget/TurboSwitchPreference
dfb80f86d1161091    7 of 123   org/mozilla/focus/utils/Settings
c2567451f520fe98    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetUserIdUseCaseFactory
a7277d51481ed7a9    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShoppingSearchLocalDataSourceFactory
9a326e27751a1cce    2 of  10   org/mozilla/rocket/content/travel/di/TravelModule_ProvideShouldShowTravelSearchOptionPromptUseCaseFactory
38237c102e3153c0    2 of  10   org/mozilla/rocket/content/game/di/GameModule_ProvideGameRepositoryFactory
ec02da981ca46dfa    2 of  10   org/mozilla/rocket/home/di/HomeModule_ProvideDismissLogoManNotificationUseCaseFactory
d3852e3de102ed7f    8 of   8   org/mozilla/rocket/theme/ThemeManager$ThemeSet
a7571b991341fe47    2 of  10   org/mozilla/rocket/msrp/di/MissionModule_ProvideCheckInMissionUseCaseFactory
623f8659feb3c11d    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetCityWikiUseCaseFactory
30b618dd36f54f56    1 of  24   org/mozilla/focus/download/DownloadInfoManager$DownloadInfoQueryHandler
15d35410193bf933    5 of   8   org/mozilla/focus/provider/ScreenshotDatabaseHelper
c7691ea0b1e6fde2    1 of   2   org/mozilla/rocket/persistance/History/HistoryDatabase$2
c6a803890d80956c    1 of   3   org/mozilla/focus/utils/FirebaseHelper$initInternal$1
d09d3a40fd405052    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideIsFxAccountUseCaseFactory
43dd62e5ef706d99    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShouldEnableTurboModeUseCaseFactory
