[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
e9a0707a355a8806   18 of  99   androidx/recyclerview/widget/DiffUtil
1d52c5c5b0d6aaf9    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$14
2085861cfad03d6c    1 of   7   com/google/android/material/navigation/NavigationView$2
ec00532bf2746a29    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$16
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
05e471fa30a797a4    1 of   2   org/libtorrent4j/alerts/Alerts$58
3529d49eff84cbfe    1 of   7   org/proninyaroslav/libretorrent/core/storage/dao/TorrentDao_Impl$3
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
9f5f416ca4665da2    3 of  29   org/libtorrent4j/swig/incoming_request_alert
05115617c163c9d9   55 of  76   org/acra/config/DialogConfigurationBuilder
3a641f864f265784    1 of   7   androidx/fragment/app/Fragment$5
a52b06568a3f7129    1 of   2   androidx/cardview/R$styleable
14fe18d2a0af225f   19 of  26   io/reactivex/internal/schedulers/IoScheduler
0b21de17d9a6d164   67 of 113   com/google/android/material/shape/ShapePath
390c7d3ce4523648    1 of   5   org/proninyaroslav/libretorrent/core/sorting/TorrentSorting$SortingColumns$3
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
088a560b38394ad2    6 of  21   com/google/android/material/motion/MaterialBackOrchestrator
56fac284950bba8d    1 of   2   androidx/appcompat/widget/SearchView$7
dbb2a4aa26f2bcd2    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
7e9aa68b5d55ea7a   13 of  21   androidx/appcompat/widget/AppCompatDrawableManager
b77df29727864152    4 of  81   com/h6ah4i/android/widget/advrecyclerview/animator/impl/BaseItemAnimationManager
f8dcec53c48fe4e2    1 of  54   androidx/work/impl/model/WorkTagDao_Impl
30ea53fab0916666    2 of   2   org/libtorrent4j/alerts/Alerts$80
d9f89462fb55d13d    2 of  10   androidx/collection/ArraySet$1
1112ee2f1cc64706   64 of 222   androidx/fragment/app/FragmentStore
523c6cb141b68c0e  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
db2b26cb5895c8d7    3 of  25   org/libtorrent4j/swig/torrent_log_alert
a16d2aaebf315cc8   17 of 163   androidx/fragment/app/FragmentManagerViewModel
1fb3bf15e0390874    2 of   7   org/libtorrent4j/alerts/ListenFailedAlert
d05ae76e9efc4383    3 of  52   kotlinx/coroutines/ExecutorCoroutineDispatcherImpl
057c530c78f3d66d    2 of   9   androidx/work/impl/constraints/controllers/StorageNotLowController
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
bf8fc735d2e99470    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
22201230bfc34945    7 of  11   androidx/core/app/NotificationCompatBuilder$Api20Impl
c5a961645581cdc7    2 of   5   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$26
3223803585d9f7e8   23 of  33   androidx/cardview/widget/CardViewApi21Impl
be8e460633a07e08    8 of  23   org/libtorrent4j/swig/error_code
39cd14153001c5c4    1 of   2   org/libtorrent4j/alerts/Alerts$93
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
7492d6e647e40bf9    1 of  36   androidx/appcompat/app/ActionBar
396590c8320e73e3    3 of  31   org/libtorrent4j/swig/portmap_error_alert
209546b6d9bd2c8d   20 of  37   androidx/room/InvalidationTracker$ObservedTableTracker
9ea705e93a526480    1 of   2   io/reactivex/internal/functions/Functions$NaturalObjectComparator
be9909ac68ec2320  168 of 474   org/proninyaroslav/libretorrent/core/utils/Utils
07857e21db8d67d6    2 of  11   org/acra/collector/LogFileCollector
fa9fab723b1cb184    4 of  16   kotlinx/coroutines/ExecutorsKt
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
55cdf503f8d5af3e    6 of   9   androidx/recyclerview/selection/ItemKeyProvider
944d676196019d98    2 of   2   androidx/activity/result/contract/ActivityResultContract$SynchronousResult
919e7ae5831b3eec    1 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
87d9bcb6c68531a6    1 of   1   com/google/android/material/internal/StateListAnimator$Tuple
4bcf933e04697d43   31 of  95   androidx/room/InvalidationTracker$refreshRunnable$1
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
651f1dd8bfbbbe5f    4 of  25   org/proninyaroslav/libretorrent/core/logger/LogEntry
7d134b27da5256db    2 of   2   androidx/lifecycle/viewmodel/internal/ViewModelProviders$ViewModelKey
2eee308162a0c4a8    2 of   7   kotlin/coroutines/AbstractCoroutineContextElement
53e1c88966136559    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
78a85c2b9abe4e5f    7 of 150   com/h6ah4i/android/widget/advrecyclerview/animator/GeneralItemAnimator
d620aaebcf13e474    1 of  13   org/acra/data/StringFormat$JSON
af8752f5edf31b96    1 of   4   com/google/android/material/internal/ContextUtils
2a6572d30bbfcb2b    1 of   3   kotlin/jvm/internal/Lambda
