[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/CPU-Info-_android6.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
19168974db5f09b1   10 of  37   androidx/compose/ui/graphics/AndroidImageBitmap_androidKt
7b59784a283b89a7   25 of  62   androidx/compose/ui/graphics/AndroidGraphicsContext
3b11b83b566a17d2    2 of  18   androidx/compose/ui/unit/DensityImpl
e67a8805e25bceb7    6 of   7   androidx/compose/ui/text/font/TypefaceResult$Immutable
60a810e1dbf28928    4 of   4   androidx/compose/animation/core/VectorizedAnimationSpecKt$createSpringAnimations$2
38c1825501bcf9bc    6 of 156   androidx/compose/foundation/gestures/ScrollingLogic
d6630983da236754    2 of  10   androidx/datastore/core/Data
5ae7e3edc23a9994   63 of 115   androidx/compose/animation/core/InfiniteTransitionKt
93aeb88ac7044e85   17 of 120   androidx/core/content/pm/ShortcutInfoCompat
536915c232bdd6b0    3 of   4   androidx/compose/ui/text/font/GenericFontFamily
d4bbb3627e3e1b40    1 of  12   androidx/compose/ui/node/NodeCoordinator$Companion$SemanticsSource$1
d4b453ebe7a3a255   12 of  13   androidx/compose/runtime/snapshots/StateObjectImpl
9dc7aaacccf99923    4 of  26   androidx/compose/ui/unit/DensityWithConverter
a5cdebae2a540686    4 of   8   com/kgurgul/cpuinfo/components/RamCleanupComponent
23e931d374080480   10 of  31   kotlinx/coroutines/flow/FlowKt__ShareKt$launchSharing$1
49a2ae559a98ffdd    8 of  31   androidx/compose/ui/graphics/BlendMode$Companion
569d10f8bc78b8ae    1 of   4   androidx/core/os/HandlerCompat$Api28Impl
97c499967638dade    5 of 103   androidx/compose/ui/input/pointer/HitPathTracker
2f5a15db849d7ca8    2 of   3   androidx/compose/material3/SurfaceKt$Surface$1$3$1
2a0c301df5884d2c    1 of   6   com/kgurgul/cpuinfo/domain/DomainModuleKt$domainModule$lambda$0$$inlined$factoryOf$default$14
be7312480d2a83a9    2 of   2   androidx/compose/ui/graphics/vector/PathNode$Close
d8bbd4aa712ddf82    3 of   3   androidx/compose/foundation/pager/DefaultPagerState$Companion
16e4ed30437eda14    1 of   1   androidx/compose/foundation/gestures/BringIntoViewSpec$Companion$DefaultBringIntoViewSpec$1
68de8f21bc2b1914    8 of  21   androidx/compose/runtime/changelist/Operation$UpdateNode
66ff5b69540bab5f    4 of   4   com/kgurgul/cpuinfo/data/DataModuleKt$dataModule$lambda$0$$inlined$factoryOf$default$1
f0fa9293f8ffb854    2 of 264   androidx/compose/ui/text/font/FontMatcher
6cd4cbb1da22ff85    2 of   5   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$LocalResources$1
ab2706d5d907f63d    4 of   7   kotlinx/coroutines/CoroutineDispatcher$Key
2849854b10707fb8    6 of  14   androidx/window/layout/WindowInfoTrackerImpl
0b0fb076de274795    1 of  49   androidx/compose/foundation/gestures/snapping/PagerSnapLayoutInfoProviderKt
0df29f56f1692101    3 of   4   androidx/compose/ui/text/TextStyle$Companion
c7d1bf90b4c00e4e    4 of  19   androidx/compose/ui/graphics/vector/PathNode$LineTo
356148330d9e121c    1 of  96   androidx/compose/material3/WideNavigationRail_androidKt
dc0e2b904654d31a    2 of  13   androidx/compose/ui/semantics/SemanticsPropertiesKt$ActionPropertyKey$1
67ad1fdac45f7ef9    1 of   2   kotlinx/coroutines/flow/FlowKt__ErrorsKt$catchImpl$1
037493d544091679    7 of  30   androidx/compose/ui/autofill/AndroidAutofill
a7f82f1abdcdf7fe   13 of  23   androidx/compose/ui/platform/WeakCache
f734e5ec112cc122    4 of  27   androidx/window/WindowSdkExtensions
