[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
0627f306b74df34a    2 of   4   kotlinx/coroutines/scheduling/Task
5dd46a768749b1cc    8 of   8   org/koin/ext/KClassExtKt
595a534fad2ca61e   33 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
88786924b48914fd    6 of  19   com/better/alarm/presenter/ToastPresenter
21b9b531ec03a9a3   29 of 318   androidx/appcompat/widget/ActionMenuView
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
b668aac56d5db8da    2 of   3   androidx/appcompat/content/res/AppCompatResources
44495f21fbfe99bb    9 of 1094   kotlin/sequences/SequencesKt___SequencesKt
82d73e8636150b6b    4 of   4   com/better/alarm/configuration/ContainerKt$startKoin$module$1$4
a531169f034459c5    6 of  47   androidx/core/view/WindowInsetsCompat$Impl
15bbe346fce7532a    5 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
1c1b246c21b2e8f3    7 of   7   com/better/alarm/configuration/ContainerKt$startKoin$module$1$25
dc5d408c796e5c89    3 of   3   kotlinx/coroutines/GlobalScope
c265d171f9d053fd   12 of  16   com/better/alarm/view/DigitalClock$AmPm
0712edbcabf09860   12 of  29   ch/qos/logback/core/android/SystemPropertiesProxy
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
0f471a9b6165f5f9    1 of  10   ch/qos/logback/classic/spi/TurboFilterList
7eb31eab040e4556   48 of 140   androidx/core/content/res/ResourcesCompat
6eccfb80fef39aff    1 of   6   com/better/alarm/view/DigitalClock$1
a6d28f3979aaf100   35 of  40   com/better/alarm/presenter/DynamicThemeHandler
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
56d17d1d06360cbe   53 of 1177   io/reactivex/Observable
007fea1c0168724d   41 of 204   org/koin/core/registry/InstanceRegistry
2e8cdc415ee1756a    2 of   5   com/better/alarm/util/ReactiveKt$mapNotNull$2
ee9698e7a4c183f7    8 of  10   kotlinx/coroutines/ThreadLocalEventLoop
451e8d1824942ddb    4 of  24   com/better/alarm/configuration/InjectKt
d93030d59c84d428    8 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
06303195799ebf71    7 of   9   kotlinx/coroutines/scheduling/CoroutineScheduler$WorkerState
402356dfafcb407c    1 of   2   androidx/preference/R$styleable
585b32dfee44158e    1 of   9   androidx/activity/result/ActivityResultRegistry$3
c75a9e074d1e5513    2 of   2   kotlin/jvm/internal/ArrayIteratorKt
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
a25757fb1ed0d22c    7 of  13   com/better/alarm/presenter/AlarmsListFragment$onCreateView$6$invoke$$inlined$sortedBy$3
943b0d7fd246a253    3 of   3   ch/qos/logback/classic/pattern/LineSeparatorConverter
