[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/TranslateYou-_v19.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
8c518dbdc323001c    3 of   3   androidx/compose/ui/layout/SubcomposeLayoutState$setMeasurePolicy$1
a763d2430d3bbacd    4 of  15   kotlin/collections/EmptyIterator
f452afb7a8d6f1eb   35 of 440   androidx/compose/ui/contentcapture/AndroidContentCaptureManager
b3ef026d009693c9    5 of  41   androidx/compose/runtime/snapshots/SnapshotId_jvmKt
aa80d427b6ffaab8    2 of   8   androidx/navigation/compose/NavHostKt$NavHost$lambda$69$lambda$68$$inlined$onDispose$1
5f52c3092fe3d15e    8 of  18   androidx/room/coroutines/PassthroughConnectionPool
57ef9aee37d87833    3 of   3   androidx/compose/runtime/saveable/SaveableStateHolderImpl$Companion
e092d703980b6d76    6 of  42   androidx/activity/compose/ComposePredictiveBackHandler
72f3a4681ae28e96    2 of   3   androidx/compose/material3/DefaultSingleRowTopAppBarOverride$SingleRowTopAppBar$4$1
1b31e4fe3548c877    5 of  20   androidx/compose/ui/Actual_jvmAndAndroidKt
359583ddbc1d68a4   31 of  48   androidx/lifecycle/FastSafeIterableMap
90d23bf96c9aa544   40 of 105   androidx/compose/ui/graphics/BlendMode
c93d004301728af9    1 of   3   androidx/compose/ui/text/input/TextInputServiceAndroid$baseInputConnection$2
06e21ab4c08a3e29    1 of  11   androidx/compose/foundation/gestures/BringIntoViewSpec_androidKt$PivotBringIntoViewSpec$1
add3979ca136998e    7 of  39   androidx/customview/poolingcontainer/PoolingContainer
bfb6159bd4f77c2d    9 of  17   androidx/compose/runtime/composer/gapbuffer/changelist/Operations$OpIterator
4dff0ed255e75436    2 of   4   androidx/compose/ui/text/input/TextInputServiceAndroid$onImeActionPerformed$1
d0ff0381e83339b3    7 of  48   androidx/room/Room
ed3cecf7fa52d898   10 of  11   androidx/compose/foundation/layout/SpacerMeasurePolicy
76a7f916bd5e91ea   38 of 402   androidx/compose/material3/Typography
d32088cc7559edbc    1 of   2   androidx/activity/result/contract/ActivityResultContract
9b953505560a7b93   12 of  67   androidx/compose/foundation/lazy/layout/AndroidPrefetchScheduler
7c1f81d5a61b78df   24 of  52   okhttp3/internal/connection/RealCall$AsyncCall
8649ba9a942b2be8    3 of  40   androidx/compose/ui/graphics/vector/PathNode$CurveTo
b9868fa4edd478e4    1 of   9   okhttp3/internal/platform/android/ConscryptSocketAdapter$Companion$factory$1
7683cb91058dfb8c   80 of 153   androidx/compose/foundation/MarqueeModifierNode
a14ac1348ea34dca    2 of   2   androidx/savedstate/internal/SavedStateRegistryImpl$Companion
6cafe4f94bdc4092    2 of   4   androidx/compose/runtime/MonotonicFrameClock
c47ee1ab40eaa627    1 of  21   androidx/compose/foundation/text/selection/TextFieldSelectionManager$contextMenuAreaModifier$2
dbe655089ca8d15b    3 of   3   androidx/compose/ui/text/style/LineHeightStyle$Companion
e02fe8d2bd5f16bc   40 of 208   androidx/room/BaseRoomConnectionManager
fbd2c02f53db4b39    4 of  12   androidx/compose/ui/text/android/BoringLayoutFactoryDefault
a1e6550948c27f0e    1 of   1   androidx/compose/ui/focus/FocusChangedModifierKt
f56e7794194f5891    1 of   3   retrofit2/BuiltInFactories
