[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Calendar-_1.10.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
8c63b69dc60a9db8    6 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
6001310f01ed21ad    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
4acdee4f74e0712d   13 of 145   org/joda/time/format/FormatUtils
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
535fe159ad8726d0    1 of   2   androidx/activity/result/contract/ActivityResultContract
cbdb69dd699862cf   22 of  57   com/google/android/material/internal/ThemeEnforcement
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
66cdc0550aa9fd65    2 of   2   kotlinx/coroutines/flow/FlowKt__ChannelsKt$emitAllImpl$1
9696c03dabb2f44f    5 of   8   androidx/room/coroutines/PassthroughConnection$WhenMappings
4b286ca38d3e3be3    1 of   2   androidx/room/util/DBUtil__DBUtil_androidKt$performSuspending$1
362cb7cec000d0b4    2 of 119   com/google/android/material/drawable/DrawableUtils
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
97c92e03868ba616   13 of 1098   kotlin/sequences/SequencesKt___SequencesKt
3e75bcba72e6a971    2 of   2   androidx/room/BaseRoomConnectionManager$Companion
97a264e5557eb761    7 of   8   androidx/lifecycle/LifecycleDispatcher
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
c705d9bef94a7ead   18 of  47   kotlinx/coroutines/flow/internal/SafeCollector
b49596c034523759   18 of  38   com/google/gson/internal/GsonTypes$ParameterizedTypeImpl
ac5e88dca04a9d97    3 of  53   androidx/core/os/BundleKt
e33cf84b79ca53e2    6 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
b0db54fd5a776f31   35 of  71   kotlinx/coroutines/channels/BufferedChannelKt
380e86627b527c5c   16 of  24   androidx/work/impl/constraints/trackers/Trackers
c1c1edbbb7674a7e   14 of  25   kotlinx/coroutines/AbstractCoroutine
87154da547c33410    4 of   5   kotlin/sequences/GeneratorSequence
3b9bc0ca3793e5a6   14 of  22   androidx/lifecycle/Lifecycle$Event
0f1c155aa83ebb12   33 of 183   kotlinx/coroutines/internal/DispatchedContinuation
939c83091985e87c   14 of  49   androidx/emoji2/viewsintegration/EmojiTextWatcher
707fba6169d37aa0    2 of   2   kotlinx/coroutines/Job$Key
b7d89f7955d4c41b    6 of  23   androidx/work/impl/utils/NetworkRequestCompat
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
b4acf6e1f5d626ee   12 of  41   androidx/fragment/app/SpecialEffectsController$Operation$State
812ff51bc808754a    3 of   5   kotlinx/coroutines/channels/ChannelResult$Companion
e95f5b1f2bb6908e    6 of   6   androidx/work/impl/model/WorkTagDao_Impl$1
5512af5df4675751    5 of   8   kotlinx/coroutines/channels/BufferOverflow
804ec0cefdca9430    1 of  36   kotlin/collections/AbstractCollection
a5e42f375586762e    3 of  37   kotlinx/coroutines/channels/ChannelCoroutine
0341aa4ddec3e6b2    9 of   9   androidx/work/OverwritingInputMerger
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
76de7532fd56f73a   11 of  20   androidx/constraintlayout/core/widgets/ConstraintWidget$1
5893e13abb864bae    3 of  24   androidx/core/os/BundleCompat
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
0eb30414bb51e874    8 of  22   com/duolingo/open/rtlviewpager/RtlViewPager$ReversingOnPageChangeListener
8db12c2cb5c065d8  255 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
7231c2a86e4f3f50    3 of   4   org/fossify/calendar/extensions/StringKt
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
482b054e11f4fd1b   13 of 127   kotlin/jvm/internal/Intrinsics
f56f8151a17a1ccf   32 of  52   org/fossify/commons/views/MyAppBarLayout
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
8bbc20c2f9b52346    9 of  16   androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
8e3d3c6d780e73d3    7 of  28   kotlin/collections/EmptySet
028eb6a418e3cd47   40 of  68   com/google/android/material/appbar/HeaderScrollingViewBehavior
7a18dd562049a697    3 of   3   androidx/work/impl/model/RawWorkInfoDao_Impl$Companion
067787285590155f   37 of  73   androidx/sqlite/driver/SupportSQLiteStatement$Companion
6a31910e1ee23c4f   12 of  18   kotlinx/coroutines/flow/DistinctFlowImpl$collect$2
fd61e74fdf16d4ad   16 of  20   androidx/work/impl/WorkerWrapper$Builder
fdb2f0128423e016    2 of   2   androidx/work/impl/WorkerWrapper$Resolution
3b34e9477ddfa639    2 of  11   androidx/core/view/WindowInsetsCompat$BuilderImpl30
40772be6b237c83c   44 of 126   androidx/work/impl/utils/ForceStopRunnable
83f8f600ef115373   14 of  52   androidx/fragment/app/FragmentController
ebdeff4aa7f67af8   59 of 142   org/fossify/commons/activities/EdgeToEdgeActivity
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
cfa78d22f4c887ed   12 of  18   androidx/room/coroutines/RunBlockingUninterruptible_androidKt$runBlockingUninterruptible$1$1
e1f6e446da979687    3 of 311   androidx/constraintlayout/core/ArrayRow
3858c61db80ba7ef    4 of   4   androidx/sqlite/db/SupportSQLiteCompat$Api21Impl
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
a9ccdc8382b1ee58    3 of   8   androidx/work/CoroutineWorker$DeprecatedDispatcher
939412c13069609a    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7627f9f3d8a206de    2 of  18   kotlin/internal/PlatformImplementations
1416e50ace832637    4 of  50   com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory
220b48283e7cddf2    2 of  46   androidx/core/os/HandlerCompat
6f2fdef04269fa18    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
a1b4e35a116ec22f    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
c19bc23b82daa8ce   10 of  60   androidx/core/os/LocaleListCompat
5a2e78b4a7b6bc98    9 of  39   androidx/room/util/DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1
48fd9436dc2d3953    2 of   3   kotlinx/coroutines/internal/ContextScope
c6932b98385674eb   20 of  69   org/fossify/calendar/adapters/QuickFilterCalendarAdapter
0fd2fd0106283543    5 of   7   androidx/work/InputMergerKt
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
0e4e07d1dff72fd4    7 of 334   kotlin/text/StringsKt__StringsJVMKt
7edf471b24a2dcdb    4 of  17   androidx/work/impl/constraints/NetworkRequestConstraintController
